[872, 605]
[folio, [453.0, 37.0, 98.0, 18.0], MyWBgPNZBz, 6457228]
[section-title, [269.0, 39.0, 72.0, 30.0], 16Rw_xrY8d, 6457228]
[paragraph, [301.0, 78.0, 250.0, 18.0], uGhyjAFpXw, 6457228]
[paragraph, [301.0, 96.0, 250.0, 18.0], uGhyjAFpXw, 6457228]
[paragraph, [301.0, 114.0, 250.0, 18.0], uGhyjAFpXw, 6457228]
[paragraph, [52.0, 82.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 100.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 118.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 136.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 154.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 172.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 190.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 208.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 226.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 244.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 262.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 280.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 298.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 316.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 334.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 352.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 370.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 388.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 406.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 424.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [52.0, 442.0, 252.0, 18.0], shoonya_0sRWN1FJPO3BVV, 6457228]
[paragraph, [303.0, 134.0, 247.0, 18.0], OrD9FwRVAf, 6457228]
[paragraph, [303.0, 152.0, 247.0, 18.0], OrD9FwRVAf, 6457228]
[paragraph, [303.0, 170.0, 247.0, 18.0], OrD9FwRVAf, 6457228]
[paragraph, [303.0, 188.0, 247.0, 18.0], OrD9FwRVAf, 6457228]
[paragraph, [300.0, 207.0, 242.0, 18.0], j-hN-3cjnH, 6457228]
[paragraph, [303.0, 226.0, 234.0, 18.0], _BCI-wlmBv, 6457228]
[paragraph, [303.0, 244.0, 234.0, 18.0], _BCI-wlmBv, 6457228]
[paragraph, [304.0, 262.0, 234.0, 18.0], _aqZFycDb6, 6457228]
[paragraph, [304.0, 281.0, 248.0, 18.0], -twDt9DwXi, 6457228]
[paragraph, [304.0, 299.0, 248.0, 18.0], -twDt9DwXi, 6457228]
[paragraph, [304.0, 317.0, 248.0, 18.0], -twDt9DwXi, 6457228]
[paragraph, [304.0, 335.0, 248.0, 18.0], -twDt9DwXi, 6457228]
[paragraph, [303.0, 351.0, 250.0, 18.0], sl7bvBvWmY, 6457228]
[paragraph, [303.0, 369.0, 250.0, 18.0], sl7bvBvWmY, 6457228]
[paragraph, [303.0, 387.0, 250.0, 18.0], sl7bvBvWmY, 6457228]
[paragraph, [299.0, 405.0, 253.0, 18.0], UYSeFcMZbs, 6457228]
