[1388, 886]
[folio, [363.0, 28.0, 169.0, 18.0], fYWi8wbFX8, 5742252]
[folio, [363.0, 46.0, 169.0, 18.0], fYWi8wbFX8, 5742252]
[paragraph, [449.0, 82.0, 397.0, 18.0], DHkscFHiXL, 5742252]
[paragraph, [449.0, 100.0, 397.0, 18.0], DHkscFHiXL, 5742252]
[paragraph, [449.0, 118.0, 397.0, 18.0], DHkscFHiXL, 5742252]
[paragraph, [449.0, 136.0, 397.0, 18.0], DHkscFHiXL, 5742252]
[paragraph, [449.0, 154.0, 397.0, 18.0], DHkscFHiXL, 5742252]
[paragraph, [449.0, 172.0, 397.0, 18.0], DHkscFHiXL, 5742252]
[paragraph, [0.0, 128.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 146.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 164.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 182.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 200.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 218.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 236.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 254.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 272.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 290.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 308.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 326.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 344.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [0.0, 362.0, 427.0, 18.0], shoonya_2s3BT93GW6SXT7, 5742252]
[paragraph, [451.0, 234.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 252.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 270.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 288.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 306.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 324.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 342.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 360.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 378.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 396.0, 390.0, 18.0], BOn3f_8El-, 5742252]
[paragraph, [451.0, 414.0, 390.0, 18.0], BOn3f_8El-, 5742252]
