[1337, 839]
[folio, [351.0, 79.0, 128.0, 18.0], shoonya_0sG3IBY2ASKNOC, 5770121]
[paragraph, [70.0, 136.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 154.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 172.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 190.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 208.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 226.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 244.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 262.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 280.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 298.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 316.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 334.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 352.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 370.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 388.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 406.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 424.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 442.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 460.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 478.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 496.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 514.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 532.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 550.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 568.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 586.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 604.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 622.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 640.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 658.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 676.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 694.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 712.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 730.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 748.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 766.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 784.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 802.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 820.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 838.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 856.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 874.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 892.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 910.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 928.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 946.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 964.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 982.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1000.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1018.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1036.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1054.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1072.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1090.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1108.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1126.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1144.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1162.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
[paragraph, [70.0, 1180.0, 354.0, 18.0], 0EQzjVVFwJ, 5770121]
