[1650, 1275]
[section-title, [141.0, 133.0, 394.0, 49.5], shoonya_0s01IPSAHJD8C3, 5780681]
[paragraph, [138.0, 199.0, 957.0, 36.0], tmLPCCnYoi, 5780681]
[paragraph, [138.0, 235.0, 957.0, 36.0], tmLPCCnYoi, 5780681]
[reference, [169.0, 388.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 424.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 460.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 496.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 532.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 568.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 604.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 640.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 676.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 712.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 748.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 784.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 820.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 856.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 892.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 928.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 964.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1000.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1036.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1072.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1108.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1144.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1180.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1216.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1252.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1288.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1324.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1360.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
[reference, [169.0, 1396.0, 950.0, 36.0], kOXPNh-sBG, 5780681]
