[1074, 720]
[paragraph, [70.0, 116.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 134.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 152.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 170.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 188.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 206.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 224.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 242.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 260.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [70.0, 278.0, 580.0, 18.0], shoonya_1s9VZG5CZJ14ED, 5710870]
[paragraph, [68.0, 304.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 322.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 340.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 358.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 376.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 394.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 412.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 430.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 448.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [68.0, 466.0, 581.0, 18.0], shoonya_3sTVLIRBP9MD8N, 5710870]
[paragraph, [70.0, 496.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 514.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 532.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 550.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 568.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 586.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 604.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 622.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 640.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 658.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 676.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 694.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 712.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 730.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 748.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 766.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [70.0, 784.0, 582.0, 18.0], shoonya_0sS53PKA2Y8PEG, 5710870]
[paragraph, [67.0, 811.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 829.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 847.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 865.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 883.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 901.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 919.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 937.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 955.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
[paragraph, [67.0, 973.0, 582.0, 18.0], shoonya_2s1SUUGTKLZFE9, 5710870]
