[2200, 1700]
[paragraph, [402.0, 202.0, 805.0, 36.0], shoonya_0s8AFV0Q94P2LQ, 5652971]
[paragraph, [318.0, 255.0, 996.0, 36.0], izxgRMyg3T, 5652971]
[paragraph, [318.0, 291.0, 996.0, 36.0], izxgRMyg3T, 5652971]
[paragraph, [318.0, 327.0, 996.0, 36.0], izxgRMyg3T, 5652971]
[paragraph, [320.0, 374.0, 998.0, 36.0], IJV5rD3ubM, 5652971]
[paragraph, [320.0, 410.0, 998.0, 36.0], IJV5rD3ubM, 5652971]
[paragraph, [320.0, 446.0, 998.0, 36.0], IJV5rD3ubM, 5652971]
[paragraph, [308.0, 495.0, 1013.0, 36.0], 9Uv4v0p2rl, 5652971]
[paragraph, [308.0, 531.0, 1013.0, 36.0], 9Uv4v0p2rl, 5652971]
[paragraph, [308.0, 567.0, 1013.0, 36.0], 9Uv4v0p2rl, 5652971]
[paragraph, [317.0, 613.0, 1011.0, 36.0], shoonya_2sIYY91E1SDIDW, 5652971]
[paragraph, [317.0, 649.0, 1011.0, 36.0], shoonya_2sIYY91E1SDIDW, 5652971]
[paragraph, [317.0, 685.0, 1011.0, 36.0], shoonya_2sIYY91E1SDIDW, 5652971]
[paragraph, [317.0, 721.0, 1011.0, 36.0], shoonya_2sIYY91E1SDIDW, 5652971]
[paragraph, [317.0, 757.0, 1011.0, 36.0], shoonya_2sIYY91E1SDIDW, 5652971]
[paragraph, [317.0, 793.0, 1011.0, 36.0], shoonya_2sIYY91E1SDIDW, 5652971]
[paragraph, [311.0, 864.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 900.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 936.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 972.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 1008.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 1044.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 1080.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[paragraph, [311.0, 1116.0, 1021.0, 36.0], shoonya_1sCD3JZWFHNY4F, 5652971]
[folio, [395.0, 1849.0, 101.0, 36.0], d6qX1WdTgi, 5652971]
