[1754, 1241]
[paragraph, [220.0, 147.0, 880.0, 36.0], kFECzCIWmz, 6470886]
[paragraph, [220.0, 183.0, 880.0, 36.0], kFECzCIWmz, 6470886]
[paragraph, [220.0, 219.0, 880.0, 36.0], kFECzCIWmz, 6470886]
[paragraph, [220.0, 255.0, 880.0, 36.0], kFECzCIWmz, 6470886]
[paragraph, [216.0, 398.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [216.0, 434.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [216.0, 470.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [216.0, 506.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [216.0, 542.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [216.0, 578.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [216.0, 614.0, 880.0, 36.0], saitBnzKhe, 6470886]
[paragraph, [217.0, 767.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 803.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 839.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 875.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 911.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 947.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 983.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1019.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1055.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1091.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1127.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1163.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1199.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1235.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1271.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1307.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1343.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[paragraph, [217.0, 1379.0, 880.0, 36.0], shoonya_0sW4AR44SGYPGY, 6470886]
[footnote, [213.0, 1506.0, 856.0, 36.0], odPLavwjcT, 6470886]
[footnote, [213.0, 1542.0, 856.0, 36.0], odPLavwjcT, 6470886]
