[2339, 1656]
[paragraph, [188.0, 195.0, 1275.0, 36.0], shoonya_3sL5YLLYKY01TN, 5730716]
[paragraph, [188.0, 231.0, 1275.0, 36.0], shoonya_3sL5YLLYKY01TN, 5730716]
[paragraph, [188.0, 267.0, 1275.0, 36.0], shoonya_3sL5YLLYKY01TN, 5730716]
[paragraph, [187.0, 357.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 393.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 429.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 465.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 501.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 537.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 573.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 609.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 645.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 681.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 717.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 753.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 789.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 825.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 861.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 897.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 933.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 969.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 1005.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 1041.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 1077.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 1113.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 1149.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [187.0, 1185.0, 1284.0, 36.0], shoonya_0sUG7IITTQPIWW, 5730716]
[paragraph, [188.0, 1293.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1329.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1365.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1401.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1437.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1473.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1509.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1545.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1581.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1617.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1653.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1689.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [188.0, 1725.0, 1280.0, 36.0], shoonya_1sRB1GS2SN7WXE, 5730716]
[paragraph, [183.0, 1823.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 1859.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 1895.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 1931.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 1967.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 2003.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 2039.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 2075.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
[paragraph, [183.0, 2111.0, 1284.0, 36.0], shoonya_2sKT6VVV9JY5EH, 5730716]
