[710, 559]
[folio, [216.0, 16.0, 298.0, 18.0], -0F6S56Fxr, 5760438]
[paragraph, [42.0, 57.0, 469.0, 18.0], shoonya_5s7IA8VC6GO0XL, 5760438]
[paragraph, [42.0, 75.0, 469.0, 18.0], shoonya_5s7IA8VC6GO0XL, 5760438]
[paragraph, [42.0, 93.0, 469.0, 18.0], shoonya_5s7IA8VC6GO0XL, 5760438]
[paragraph, [41.0, 134.0, 471.0, 18.0], shoonya_3sETRFRTT4QYDQ, 5760438]
[paragraph, [41.0, 152.0, 471.0, 18.0], shoonya_3sETRFRTT4QYDQ, 5760438]
[paragraph, [41.0, 170.0, 471.0, 18.0], shoonya_3sETRFRTT4QYDQ, 5760438]
[paragraph, [41.0, 188.0, 471.0, 18.0], shoonya_3sETRFRTT4QYDQ, 5760438]
[paragraph, [41.0, 206.0, 471.0, 18.0], shoonya_3sETRFRTT4QYDQ, 5760438]
[paragraph, [42.0, 239.0, 469.0, 18.0], shoonya_1sOTN4FSUPGLPB, 5760438]
[paragraph, [42.0, 257.0, 469.0, 18.0], shoonya_1sOTN4FSUPGLPB, 5760438]
[paragraph, [42.0, 275.0, 469.0, 18.0], shoonya_1sOTN4FSUPGLPB, 5760438]
[paragraph, [42.0, 293.0, 469.0, 18.0], shoonya_1sOTN4FSUPGLPB, 5760438]
[paragraph, [42.0, 311.0, 469.0, 18.0], shoonya_1sOTN4FSUPGLPB, 5760438]
[paragraph, [42.0, 329.0, 469.0, 18.0], shoonya_1sOTN4FSUPGLPB, 5760438]
[paragraph, [41.0, 364.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 382.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 400.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 418.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 436.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 454.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 472.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 490.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 508.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 526.0, 469.0, 18.0], shoonya_0sIM71ZAG74VVI, 5760438]
[paragraph, [41.0, 563.0, 469.0, 18.0], shoonya_4sA3EPZYZU8C6K, 5760438]
[paragraph, [41.0, 581.0, 469.0, 18.0], shoonya_4sA3EPZYZU8C6K, 5760438]
[paragraph, [41.0, 599.0, 469.0, 18.0], shoonya_4sA3EPZYZU8C6K, 5760438]
[paragraph, [41.0, 617.0, 469.0, 18.0], shoonya_4sA3EPZYZU8C6K, 5760438]
[paragraph, [41.0, 635.0, 469.0, 18.0], shoonya_4sA3EPZYZU8C6K, 5760438]
[paragraph, [41.0, 653.0, 469.0, 18.0], shoonya_4sA3EPZYZU8C6K, 5760438]
