[1606, 1056]
[folio, [90.0, 100.0, 246.0, 36.0], IQaSubrqV3, 5683708]
[folio, [449.0, 102.0, 160.0, 36.0], shoonya_0sZ5UROX18C17K, 5683708]
[section-title, [365.0, 156.0, 321.0, 49.5], KGBU35qML0, 5683708]
[paragraph, [252.0, 225.0, 486.0, 36.0], shoonya_2s7MREYWO9SB8B, 5683708]
[paragraph, [252.0, 261.0, 486.0, 36.0], shoonya_2s7MREYWO9SB8B, 5683708]
[paragraph, [252.0, 297.0, 486.0, 36.0], shoonya_2s7MREYWO9SB8B, 5683708]
[paragraph, [252.0, 333.0, 486.0, 36.0], shoonya_2s7MREYWO9SB8B, 5683708]
[paragraph, [252.0, 369.0, 486.0, 36.0], shoonya_2s7MREYWO9SB8B, 5683708]
[paragraph, [252.0, 405.0, 486.0, 36.0], shoonya_2s7MREYWO9SB8B, 5683708]
[paragraph, [89.0, 459.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 495.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 531.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 567.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 603.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 639.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 675.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 711.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 747.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 783.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 819.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 855.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 891.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 927.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [89.0, 963.0, 869.0, 36.0], shoonya_1s74AHO2WXYJ54, 5683708]
[paragraph, [90.0, 1015.0, 867.0, 36.0], CkY8q1Ngoq, 5683708]
[paragraph, [90.0, 1051.0, 867.0, 36.0], CkY8q1Ngoq, 5683708]
[paragraph, [234.0, 1105.0, 423.0, 36.0], UN5FgwVOd7, 5683708]
[paragraph, [94.0, 1151.0, 866.0, 36.0], 0T3BE-y9k6, 5683708]
[paragraph, [94.0, 1187.0, 866.0, 36.0], 0T3BE-y9k6, 5683708]
[paragraph, [96.0, 1240.0, 870.0, 36.0], cUbEGerjSO, 5683708]
[paragraph, [96.0, 1276.0, 870.0, 36.0], cUbEGerjSO, 5683708]
[paragraph, [96.0, 1312.0, 870.0, 36.0], cUbEGerjSO, 5683708]
[paragraph, [96.0, 1348.0, 870.0, 36.0], cUbEGerjSO, 5683708]
[paragraph, [96.0, 1384.0, 870.0, 36.0], cUbEGerjSO, 5683708]
[paragraph, [96.0, 1420.0, 870.0, 36.0], cUbEGerjSO, 5683708]
[paragraph, [96.0, 1456.0, 870.0, 36.0], cUbEGerjSO, 5683708]
