[612, 792]
[folio, [512.0, 19.0, 159.0, 18.0], YMCkFHFRSS, 5726278]
[ordered-list, [440.0, 46.0, 303.0, 18.0], EYUEhXvO16, 5726278]
[ordered-list, [440.0, 64.0, 303.0, 18.0], EYUEhXvO16, 5726278]
[ordered-list, [440.0, 82.0, 303.0, 18.0], EYUEhXvO16, 5726278]
[ordered-list, [440.0, 100.0, 303.0, 18.0], EYUEhXvO16, 5726278]
[ordered-list, [440.0, 118.0, 303.0, 18.0], EYUEhXvO16, 5726278]
[paragraph, [46.0, 48.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 66.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 84.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 102.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 120.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 138.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 156.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 174.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 192.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 210.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 228.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 246.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 264.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 282.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 300.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[paragraph, [46.0, 318.0, 312.0, 18.0], vsuOCh7xYs, 5726278]
[ordered-list, [433.0, 165.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 183.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 201.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 219.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 237.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 255.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 273.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 291.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[ordered-list, [433.0, 309.0, 318.0, 18.0], shoonya_0sG2N4EMO4X06S, 5726278]
[paragraph, [439.0, 268.0, 309.0, 18.0], EqBub_j_ki, 5726278]
[paragraph, [439.0, 286.0, 309.0, 18.0], EqBub_j_ki, 5726278]
[paragraph, [439.0, 304.0, 309.0, 18.0], EqBub_j_ki, 5726278]
[paragraph, [44.0, 340.0, 315.0, 18.0], EDRzJ5G7N1, 5726278]
[paragraph, [44.0, 358.0, 315.0, 18.0], EDRzJ5G7N1, 5726278]
[paragraph, [44.0, 376.0, 315.0, 18.0], EDRzJ5G7N1, 5726278]
[paragraph, [44.0, 394.0, 315.0, 18.0], EDRzJ5G7N1, 5726278]
[paragraph, [44.0, 412.0, 315.0, 18.0], EDRzJ5G7N1, 5726278]
[ordered-list, [431.0, 351.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 369.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 387.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 405.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 423.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 441.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 459.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 477.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 495.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 513.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[ordered-list, [431.0, 531.0, 317.0, 18.0], Lt5x7M7nuM, 5726278]
[section-title, [47.0, 450.0, 304.0, 30.0], muncdcFQVV, 5726278]
[sub-ordered-list, [437.0, 483.0, 306.0, 18.0], E_DYuNCani, 5726278]
[sub-ordered-list, [437.0, 501.0, 306.0, 18.0], E_DYuNCani, 5726278]
[sub-ordered-list, [437.0, 519.0, 306.0, 18.0], E_DYuNCani, 5726278]
[sub-ordered-list, [437.0, 537.0, 306.0, 18.0], E_DYuNCani, 5726278]
[sub-section-title, [48.0, 490.0, 305.0, 25.5], R5k-g4zsF3, 5726278]
[ordered-list, [48.0, 523.0, 304.0, 18.0], 3kXGIOUuvQ, 5726278]
[ordered-list, [48.0, 541.0, 304.0, 18.0], 3kXGIOUuvQ, 5726278]
