[1875, 1200]
[folio, [196.0, 196.0, 249.0, 36.0], PUFq7F_RYx, 5711134]
[paragraph, [178.0, 264.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 300.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 336.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 372.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 408.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 444.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 480.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 516.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 552.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 588.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 624.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 660.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [178.0, 696.0, 863.0, 36.0], shoonya_1s6JY4219KI5HX, 5711134]
[paragraph, [174.0, 794.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 830.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 866.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 902.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 938.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 974.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1010.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1046.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1082.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1118.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1154.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1190.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1226.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1262.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1298.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1334.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1370.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1406.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [174.0, 1442.0, 850.0, 36.0], shoonya_0sXBS0XDV4308Y, 5711134]
[paragraph, [181.0, 1511.0, 851.0, 36.0], AfqMcyLnLI, 5711134]
[paragraph, [181.0, 1547.0, 851.0, 36.0], AfqMcyLnLI, 5711134]
