[1387, 987]
[paragraph, [33.0, 77.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 95.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 113.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 131.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 149.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 167.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 185.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 203.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 221.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 239.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 257.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 275.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 293.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 311.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 329.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 347.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 365.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 383.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 401.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 419.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 437.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 455.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [33.0, 473.0, 904.0, 18.0], shoonya_0sY2UTPZFCHIBN, 5652712]
[paragraph, [57.0, 499.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 517.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 535.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 553.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 571.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 589.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 607.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 625.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 643.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 661.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 679.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 697.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 715.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 733.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 751.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 769.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 787.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 805.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 823.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [57.0, 841.0, 895.0, 18.0], ugsMP18x90, 5652712]
[paragraph, [49.0, 861.0, 799.0, 18.0], d6RZJXt1xH, 5652712]
[paragraph, [49.0, 879.0, 799.0, 18.0], d6RZJXt1xH, 5652712]
[paragraph, [49.0, 897.0, 799.0, 18.0], d6RZJXt1xH, 5652712]
[paragraph, [50.0, 930.0, 816.0, 18.0], PK9iQKmn5T, 5652712]
[paragraph, [50.0, 948.0, 816.0, 18.0], PK9iQKmn5T, 5652712]
[paragraph, [50.0, 966.0, 816.0, 18.0], PK9iQKmn5T, 5652712]
[paragraph, [50.0, 984.0, 816.0, 18.0], PK9iQKmn5T, 5652712]
[paragraph, [50.0, 1002.0, 816.0, 18.0], PK9iQKmn5T, 5652712]
[paragraph, [50.0, 1020.0, 816.0, 18.0], PK9iQKmn5T, 5652712]
[paragraph, [36.0, 1055.0, 746.0, 18.0], sBYc5banNc, 5652712]
[paragraph, [36.0, 1073.0, 746.0, 18.0], sBYc5banNc, 5652712]
[paragraph, [36.0, 1091.0, 746.0, 18.0], sBYc5banNc, 5652712]
[paragraph, [41.0, 1115.0, 759.0, 18.0], G3jQc8-fbp, 5652712]
[paragraph, [41.0, 1133.0, 759.0, 18.0], G3jQc8-fbp, 5652712]
[paragraph, [41.0, 1151.0, 759.0, 18.0], G3jQc8-fbp, 5652712]
[paragraph, [41.0, 1169.0, 759.0, 18.0], G3jQc8-fbp, 5652712]
[paragraph, [17.0, 1187.0, 860.0, 18.0], 6T99KqNkrt, 5652712]
[paragraph, [17.0, 1205.0, 860.0, 18.0], 6T99KqNkrt, 5652712]
[paragraph, [17.0, 1223.0, 860.0, 18.0], 6T99KqNkrt, 5652712]
[paragraph, [17.0, 1241.0, 860.0, 18.0], 6T99KqNkrt, 5652712]
[paragraph, [17.0, 1259.0, 860.0, 18.0], 6T99KqNkrt, 5652712]
