[1862, 1450]
[folio, [1119.0, 162.0, 136.0, 36.0], shoonya_11s4UKW7GO4OZX, 5771705]
[paragraph, [725.0, 210.0, 540.0, 36.0], shoonya_3sCNGJ1O1HG89O, 5771705]
[paragraph, [725.0, 246.0, 540.0, 36.0], shoonya_3sCNGJ1O1HG89O, 5771705]
[paragraph, [725.0, 282.0, 540.0, 36.0], shoonya_3sCNGJ1O1HG89O, 5771705]
[paragraph, [725.0, 318.0, 540.0, 36.0], shoonya_3sCNGJ1O1HG89O, 5771705]
[paragraph, [725.0, 354.0, 540.0, 36.0], shoonya_3sCNGJ1O1HG89O, 5771705]
[sidebar, [197.0, 217.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[sidebar, [197.0, 253.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[sidebar, [197.0, 289.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[sidebar, [197.0, 325.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[sidebar, [197.0, 361.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[sidebar, [197.0, 397.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[sidebar, [197.0, 433.0, 519.0, 36.0], Q7EZUr8C2K, 5771705]
[paragraph, [726.0, 392.0, 537.0, 36.0], shoonya_8sB8G2KI8VJAES, 5771705]
[paragraph, [726.0, 428.0, 537.0, 36.0], shoonya_8sB8G2KI8VJAES, 5771705]
[paragraph, [726.0, 464.0, 537.0, 36.0], shoonya_8sB8G2KI8VJAES, 5771705]
[paragraph, [726.0, 500.0, 537.0, 36.0], shoonya_8sB8G2KI8VJAES, 5771705]
[paragraph, [726.0, 536.0, 537.0, 36.0], shoonya_8sB8G2KI8VJAES, 5771705]
[paragraph, [185.0, 495.0, 533.0, 36.0], shoonya_13sB33MOHTG33B, 5771705]
[paragraph, [185.0, 531.0, 533.0, 36.0], shoonya_13sB33MOHTG33B, 5771705]
[paragraph, [185.0, 567.0, 533.0, 36.0], shoonya_13sB33MOHTG33B, 5771705]
[paragraph, [185.0, 603.0, 533.0, 36.0], shoonya_13sB33MOHTG33B, 5771705]
[paragraph, [729.0, 573.0, 534.0, 36.0], shoonya_5sJS122ULTF7UH, 5771705]
[paragraph, [729.0, 609.0, 534.0, 36.0], shoonya_5sJS122ULTF7UH, 5771705]
[paragraph, [729.0, 645.0, 534.0, 36.0], shoonya_5sJS122ULTF7UH, 5771705]
[paragraph, [729.0, 681.0, 534.0, 36.0], shoonya_5sJS122ULTF7UH, 5771705]
[paragraph, [729.0, 717.0, 534.0, 36.0], shoonya_5sJS122ULTF7UH, 5771705]
[paragraph, [188.0, 651.0, 531.0, 36.0], hjU8Ab069Q, 5771705]
[paragraph, [188.0, 687.0, 531.0, 36.0], hjU8Ab069Q, 5771705]
[paragraph, [188.0, 723.0, 531.0, 36.0], hjU8Ab069Q, 5771705]
[paragraph, [188.0, 759.0, 531.0, 36.0], hjU8Ab069Q, 5771705]
[sidebar, [458.0, 801.0, 794.0, 36.0], shoonya_10s4AMZP637AXD, 5771705]
[sidebar, [458.0, 837.0, 794.0, 36.0], shoonya_10s4AMZP637AXD, 5771705]
[sidebar, [458.0, 873.0, 794.0, 36.0], shoonya_10s4AMZP637AXD, 5771705]
[sidebar, [458.0, 909.0, 794.0, 36.0], shoonya_10s4AMZP637AXD, 5771705]
[sidebar, [458.0, 945.0, 794.0, 36.0], shoonya_10s4AMZP637AXD, 5771705]
