[1754, 1241]
[paragraph, [213.0, 137.0, 881.0, 36.0], shoonya_2s8N8ROD1UF6PY, 6470449]
[paragraph, [213.0, 173.0, 881.0, 36.0], shoonya_2s8N8ROD1UF6PY, 6470449]
[paragraph, [213.0, 257.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 293.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 329.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 365.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 401.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 437.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 473.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 509.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 545.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 581.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 617.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 653.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 689.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 725.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 761.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 797.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 833.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 869.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 905.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 941.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 977.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 1013.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 1049.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 1085.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 1121.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [213.0, 1157.0, 890.0, 36.0], shoonya_1sO81ARWWWEEV0, 6470449]
[paragraph, [214.0, 1237.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1273.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1309.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1345.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1381.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1417.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1453.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1489.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
[paragraph, [214.0, 1525.0, 886.0, 36.0], shoonya_0s58HTFO0HUFLS, 6470449]
