[1951, 1219]
[folio, [242.0, 119.0, 220.0, 36.0], shoonya_0sUN2PPRN9H42K, 5682868]
[paragraph, [115.0, 207.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 243.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 279.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 315.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 351.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 387.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 423.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 459.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 495.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 531.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 567.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 603.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 639.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 675.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 711.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [115.0, 747.0, 978.0, 36.0], ad2dzEXtxv, 5682868]
[paragraph, [112.0, 795.0, 981.0, 36.0], vteQul4Qpt, 5682868]
[paragraph, [112.0, 831.0, 981.0, 36.0], vteQul4Qpt, 5682868]
[paragraph, [112.0, 867.0, 981.0, 36.0], vteQul4Qpt, 5682868]
[paragraph, [112.0, 903.0, 981.0, 36.0], vteQul4Qpt, 5682868]
[paragraph, [112.0, 939.0, 981.0, 36.0], vteQul4Qpt, 5682868]
[paragraph, [112.0, 975.0, 981.0, 36.0], vteQul4Qpt, 5682868]
[paragraph, [111.0, 1027.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1063.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1099.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1135.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1171.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1207.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1243.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1279.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1315.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1351.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1387.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1423.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1459.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1495.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1531.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1567.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1603.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1639.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1675.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [111.0, 1711.0, 982.0, 36.0], xspWdSX_fC, 5682868]
[paragraph, [205.0, 1777.0, 877.0, 36.0], Rk28_79s66, 5682868]
