[1818, 1374]
[folio, [431.0, 109.0, 563.0, 36.0], shoonya_2sEGP9ZZ02DUEP, 5682017]
[paragraph, [112.0, 179.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 215.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 251.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 287.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 323.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 359.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 395.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 431.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 467.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 503.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 539.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 575.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 611.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 647.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 683.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 719.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 755.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 791.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 827.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 863.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 899.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 935.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 971.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1007.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1043.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1079.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1115.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1151.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1187.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1223.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1259.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1295.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1331.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
[paragraph, [112.0, 1367.0, 567.0, 36.0], shoonya_0s6E7W04L9LKFB, 5682017]
