[2339, 1653]
[paragraph, [445.0, 246.0, 823.0, 36.0], RcJUKlojqP, 5686263]
[paragraph, [450.0, 311.0, 341.0, 36.0], SQa0TAyLw7, 5686263]
[reference, [799.0, 312.0, 107.0, 36.0], r3Y1i1lX-b, 5686263]
[paragraph, [251.0, 373.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 409.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 445.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 481.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 517.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 553.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 589.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 625.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 661.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 697.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 733.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 769.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 805.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 841.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 877.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 913.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 949.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 985.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 1021.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 1057.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [251.0, 1093.0, 1151.0, 36.0], shoonya_1sFND0564UFJLY, 5686263]
[paragraph, [250.0, 1171.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1207.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1243.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1279.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1315.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1351.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1387.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1423.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1459.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1495.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1531.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1567.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1603.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1639.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1675.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1711.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1747.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1783.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1819.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1855.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [250.0, 1891.0, 1154.0, 36.0], shoonya_0sMGWLXN4B8U0W, 5686263]
[paragraph, [251.0, 1969.0, 1155.0, 36.0], shoonya_2sD38A999EARI5, 5686263]
[paragraph, [251.0, 2005.0, 1155.0, 36.0], shoonya_2sD38A999EARI5, 5686263]
[paragraph, [251.0, 2041.0, 1155.0, 36.0], shoonya_2sD38A999EARI5, 5686263]
