[1267, 753]
[folio, [301.0, 78.0, 149.0, 18.0], shoonya_3s5MUDW571WIG4, 5700263]
[paragraph, [82.0, 130.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 148.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 166.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 184.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 202.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 220.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 238.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 256.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 274.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 292.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 310.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 328.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 346.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 364.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 382.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 400.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 418.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 436.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 454.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 472.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 490.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 508.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 526.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 544.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[paragraph, [82.0, 562.0, 587.0, 18.0], shoonya_0sUKUGXFCGNGY4, 5700263]
[section-title, [208.0, 631.0, 334.0, 30.0], shoonya_2sAZYV2O6P4CQI, 5700263]
[paragraph, [82.0, 677.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 695.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 713.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 731.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 749.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 767.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 785.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 803.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 821.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 839.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 857.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 875.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 893.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 911.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 929.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 947.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 965.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 983.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1001.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1019.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1037.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1055.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1073.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1091.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1109.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1127.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1145.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
[paragraph, [82.0, 1163.0, 586.0, 18.0], shoonya_1sE5CSV48VETN5, 5700263]
