[792, 612]
[sidebar, [148.0, 165.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 183.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 201.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 219.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 237.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 255.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 273.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 291.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 309.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 327.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 345.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 363.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 381.0, 342.0, 18.0], fskU096fIH, 5745005]
[sidebar, [148.0, 399.0, 342.0, 18.0], fskU096fIH, 5745005]
[paragraph, [169.0, 188.0, 299.0, 18.0], 7YVWlcCBoB, 5745005]
[paragraph, [169.0, 206.0, 299.0, 18.0], 7YVWlcCBoB, 5745005]
[paragraph, [169.0, 224.0, 299.0, 18.0], 7YVWlcCBoB, 5745005]
[paragraph, [169.0, 242.0, 299.0, 18.0], 7YVWlcCBoB, 5745005]
[paragraph, [169.0, 260.0, 299.0, 18.0], 7YVWlcCBoB, 5745005]
[ordered-list, [176.0, 311.0, 127.0, 18.0], BoqEj2JSbu, 5745005]
[ordered-list, [176.0, 329.0, 127.0, 18.0], BoqEj2JSbu, 5745005]
