[1162, 749]
[folio, [309.0, 73.0, 146.0, 18.0], shoonya_2sC9ENWJJMAB83, 5699634]
[paragraph, [80.0, 120.0, 595.0, 18.0], shoonya_0sY37HMHFWPKDZ, 5699634]
[paragraph, [80.0, 138.0, 595.0, 18.0], shoonya_0sY37HMHFWPKDZ, 5699634]
[paragraph, [80.0, 156.0, 595.0, 18.0], shoonya_0sY37HMHFWPKDZ, 5699634]
[paragraph, [80.0, 185.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 203.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 221.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 239.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 257.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 275.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 293.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 311.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 329.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 347.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 365.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 383.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 401.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 419.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 437.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 455.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 473.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 491.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 509.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 527.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 545.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 563.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 581.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 599.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 617.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 635.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 653.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[paragraph, [80.0, 671.0, 348.0, 18.0], shoonya_1sXTSWZGTKIJMA, 5699634]
[figure-caption, [507.0, 222.0, 122.0, 18.0], shoonya_4sWKAHCUO8E5QV, 5699634]
[paragraph, [79.0, 695.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 713.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 731.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 749.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 767.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 785.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 803.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 821.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 839.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 857.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 875.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 893.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 911.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 929.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 947.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 965.0, 344.0, 18.0], shoonya_5s9JEUKBBMGM93, 5699634]
[paragraph, [79.0, 997.0, 581.0, 18.0], lzmb06oDpX, 5699634]
[paragraph, [79.0, 1015.0, 581.0, 18.0], lzmb06oDpX, 5699634]
[paragraph, [79.0, 1033.0, 581.0, 18.0], lzmb06oDpX, 5699634]
