[2339, 1653]
[website-link, [1210.0, 250.0, 192.0, 18.0], wAL824ERuC, 5687157]
[website-link, [1210.0, 268.0, 192.0, 18.0], wAL824ERuC, 5687157]
[paragraph, [252.0, 256.0, 948.0, 36.0], shoonya_3sZQ6J00V0F5S5, 5687157]
[website-link, [252.0, 316.0, 295.0, 18.0], y-wBp9wtG6, 5687157]
[website-link, [252.0, 334.0, 295.0, 18.0], y-wBp9wtG6, 5687157]
[paragraph, [251.0, 385.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 421.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 457.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 493.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 529.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 565.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 601.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 637.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [251.0, 673.0, 1154.0, 36.0], shoonya_0sON24WDWAX2IJ, 5687157]
[paragraph, [249.0, 733.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 769.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 805.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 841.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 877.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 913.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 949.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 985.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 1021.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 1057.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 1093.0, 1149.0, 36.0], shoonya_2sYW3MGJKBYXJR, 5687157]
[paragraph, [249.0, 1150.0, 1154.0, 36.0], shoonya_4sEMVS4PSLANE5, 5687157]
[paragraph, [249.0, 1186.0, 1154.0, 36.0], shoonya_4sEMVS4PSLANE5, 5687157]
[paragraph, [249.0, 1222.0, 1154.0, 36.0], shoonya_4sEMVS4PSLANE5, 5687157]
[paragraph, [249.0, 1258.0, 1154.0, 36.0], shoonya_4sEMVS4PSLANE5, 5687157]
[paragraph, [249.0, 1294.0, 1154.0, 36.0], shoonya_4sEMVS4PSLANE5, 5687157]
[paragraph, [250.0, 1358.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1394.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1430.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1466.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1502.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1538.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1574.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1610.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1646.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1682.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1718.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1754.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1790.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1826.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1862.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1898.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1934.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 1970.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 2006.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
[paragraph, [250.0, 2042.0, 1152.0, 36.0], shoonya_1sVQJY7GOKYXIH, 5687157]
