[842, 596]
[ordered-list, [114.0, 55.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 73.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 91.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 109.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 127.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 145.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 163.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 181.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 199.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 217.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 235.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 253.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 271.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [114.0, 289.0, 413.0, 18.0], plnsBCYCqG, 5658602]
[ordered-list, [57.0, 315.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 333.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 351.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 369.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 387.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 405.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 423.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 441.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 459.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 477.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 495.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 513.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 531.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 549.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 567.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 585.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 603.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 621.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 639.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 657.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 675.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[ordered-list, [57.0, 693.0, 481.0, 18.0], dbKHbNtNd4, 5658602]
[sub-ordered-list, [74.0, 336.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 354.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 372.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 390.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 408.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 426.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 444.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 462.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 480.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 498.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 516.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 534.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 552.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 570.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 588.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 606.0, 454.0, 18.0], O815veog4f, 5658602]
[sub-ordered-list, [74.0, 624.0, 454.0, 18.0], O815veog4f, 5658602]
[footnote, [76.0, 774.0, 471.0, 18.0], shoonya_0s4K7YNDN1N8Q3, 5658602]
[footnote, [76.0, 792.0, 471.0, 18.0], shoonya_0s4K7YNDN1N8Q3, 5658602]
