[1733, 1306]
[headline, [350.0, 21.0, 620.0, 37.5], HeC3GLyHpy, 5779393]
[headline, [350.0, 58.5, 620.0, 37.5], HeC3GLyHpy, 5779393]
[headline, [350.0, 96.0, 620.0, 37.5], HeC3GLyHpy, 5779393]
[headline, [350.0, 133.5, 620.0, 37.5], HeC3GLyHpy, 5779393]
[headline, [350.0, 171.0, 620.0, 37.5], HeC3GLyHpy, 5779393]
[headline, [350.0, 208.5, 620.0, 37.5], HeC3GLyHpy, 5779393]
[section-title, [462.0, 353.0, 403.0, 49.5], shoonya_2sTUMLM6QHPYRG, 5779393]
[unordered-list, [257.0, 505.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 541.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 577.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 613.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 649.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 685.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 721.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 757.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 793.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 829.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 865.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 901.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 937.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 973.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1009.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1045.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1081.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1117.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1153.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1189.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1225.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1261.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1297.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1333.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1369.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[unordered-list, [257.0, 1405.0, 893.0, 36.0], shoonya_1s8QXC7JPMZCO3, 5779393]
[contact-info, [251.0, 1628.0, 530.0, 36.0], fzHRNeaSdJ, 5779393]
