[1625, 1211]
[paragraph, [796.0, 84.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 120.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 156.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 192.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 228.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 264.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 300.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 336.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 372.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 408.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 444.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 480.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 516.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 552.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 588.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 624.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 660.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 696.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 732.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 768.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 804.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 840.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 876.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 912.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [796.0, 948.0, 340.0, 36.0], _O-DyBf1A7, 5742820]
[paragraph, [425.0, 89.0, 357.0, 36.0], UcUnkAOnjW, 5742820]
[paragraph, [425.0, 125.0, 357.0, 36.0], UcUnkAOnjW, 5742820]
[paragraph, [425.0, 161.0, 357.0, 36.0], UcUnkAOnjW, 5742820]
[paragraph, [425.0, 197.0, 357.0, 36.0], UcUnkAOnjW, 5742820]
[paragraph, [425.0, 233.0, 357.0, 36.0], UcUnkAOnjW, 5742820]
[paragraph, [71.0, 93.0, 342.0, 36.0], fAIOxC3nKk, 5742820]
[paragraph, [71.0, 129.0, 342.0, 36.0], fAIOxC3nKk, 5742820]
[paragraph, [71.0, 165.0, 342.0, 36.0], fAIOxC3nKk, 5742820]
[paragraph, [71.0, 201.0, 342.0, 36.0], fAIOxC3nKk, 5742820]
[paragraph, [71.0, 237.0, 342.0, 36.0], fAIOxC3nKk, 5742820]
[paragraph, [69.0, 296.0, 355.0, 36.0], ZAvI3yeg9s, 5742820]
[paragraph, [69.0, 332.0, 355.0, 36.0], ZAvI3yeg9s, 5742820]
[paragraph, [69.0, 368.0, 355.0, 36.0], ZAvI3yeg9s, 5742820]
[paragraph, [69.0, 404.0, 355.0, 36.0], ZAvI3yeg9s, 5742820]
[paragraph, [69.0, 440.0, 355.0, 36.0], ZAvI3yeg9s, 5742820]
[paragraph, [69.0, 476.0, 355.0, 36.0], ZAvI3yeg9s, 5742820]
