[612, 396]
[folio, [173.0, 33.0, 159.0, 18.0], lqvde2_3Mj, 6517311]
[paragraph, [37.0, 69.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 87.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 105.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 123.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 141.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 159.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 177.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 195.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 213.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [37.0, 231.0, 316.0, 18.0], 72vPgj3UaQ, 6517311]
[paragraph, [36.0, 272.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 290.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 308.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 326.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 344.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 362.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 380.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 398.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 416.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 434.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [36.0, 452.0, 322.0, 18.0], FqFbZD9GWv, 6517311]
[paragraph, [43.0, 503.0, 321.0, 18.0], Ny5NkGQaEd, 6517311]
[paragraph, [43.0, 521.0, 321.0, 18.0], Ny5NkGQaEd, 6517311]
[paragraph, [43.0, 539.0, 321.0, 18.0], Ny5NkGQaEd, 6517311]
