[1650, 1275]
[section-title, [176.0, 141.0, 410.0, 49.5], C54zp4f0rb, 5703487]
[paragraph, [185.0, 290.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 326.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 362.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 398.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 434.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 470.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 506.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 542.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [185.0, 578.0, 903.0, 36.0], shoonya_0sWTB2ZBCBEA0M, 5703487]
[paragraph, [183.0, 670.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 706.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 742.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 778.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 814.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 850.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 886.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 922.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 958.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 994.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1030.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1066.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1102.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1138.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1174.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1210.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1246.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [183.0, 1282.0, 905.0, 36.0], shoonya_2sY3YQBVAW8TNM, 5703487]
[paragraph, [187.0, 1367.0, 899.0, 36.0], shoonya_3sAMVE6UN3H694, 5703487]
[paragraph, [187.0, 1403.0, 899.0, 36.0], shoonya_3sAMVE6UN3H694, 5703487]
