[3835, 2318]
[paragraph, [140.0, 382.0, 2147.0, 52.5], shoonya_1s62HYLUTESJA2, 5720127]
[paragraph, [140.0, 434.5, 2147.0, 52.5], shoonya_1s62HYLUTESJA2, 5720127]
[paragraph, [140.0, 487.0, 2147.0, 52.5], shoonya_1s62HYLUTESJA2, 5720127]
[paragraph, [140.0, 539.5, 2147.0, 52.5], shoonya_1s62HYLUTESJA2, 5720127]
[section-title, [326.0, 627.0, 667.0, 93.0], zNVxmLN79t, 5720127]
[paragraph, [1037.0, 656.0, 1268.0, 52.5], UgxJDzt22e, 5720127]
[paragraph, [1037.0, 708.5, 1268.0, 52.5], UgxJDzt22e, 5720127]
[paragraph, [127.0, 789.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 841.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 894.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 946.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 999.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1051.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1104.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1156.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1209.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1261.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1314.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1366.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1419.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1471.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1524.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1576.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1629.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1681.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1734.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1786.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1839.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1891.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1944.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 1996.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 2049.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 2101.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 2154.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 2206.5, 2187.0, 52.5], VtnsFq722I, 5720127]
[paragraph, [127.0, 2259.0, 2187.0, 52.5], VtnsFq722I, 5720127]
[section-title, [350.0, 2385.0, 1121.0, 93.0], YCcy3JOs0X, 5720127]
[paragraph, [1518.0, 2403.0, 776.0, 52.5], 7i4r6wxUSS, 5720127]
[paragraph, [1518.0, 2455.5, 776.0, 52.5], 7i4r6wxUSS, 5720127]
[paragraph, [121.0, 2539.0, 2176.0, 52.5], Sne6Uj7JaJ, 5720127]
[paragraph, [121.0, 2591.5, 2176.0, 52.5], Sne6Uj7JaJ, 5720127]
[paragraph, [121.0, 2644.0, 2176.0, 52.5], Sne6Uj7JaJ, 5720127]
[paragraph, [121.0, 2696.5, 2176.0, 52.5], Sne6Uj7JaJ, 5720127]
[paragraph, [121.0, 2749.0, 2176.0, 52.5], Sne6Uj7JaJ, 5720127]
[paragraph, [121.0, 2801.5, 2176.0, 52.5], Sne6Uj7JaJ, 5720127]
[figure-caption, [275.0, 3527.0, 1889.0, 52.5], 4g6S8yLGKA, 5720127]
[figure-caption, [275.0, 3579.5, 1889.0, 52.5], 4g6S8yLGKA, 5720127]
