[671, 419]
[folio, [172.0, 11.0, 85.0, 18.0], shoonya_0sKWUWC1AVXXIS, 5748495]
[paragraph, [21.0, 47.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 65.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 83.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 101.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 119.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 137.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 155.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 173.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 191.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 209.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 227.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 245.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 263.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 281.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 299.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 317.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 335.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 353.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 371.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 389.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 407.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 425.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 443.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 461.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 479.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 497.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 515.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 533.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 551.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 569.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 587.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 605.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 623.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
[paragraph, [21.0, 641.0, 386.0, 18.0], 05tPsEQ5oM, 5748495]
