[872, 605]
[folio, [454.0, 32.0, 98.0, 18.0], 50jXs96eFV, 6457575]
[folio, [254.0, 35.0, 94.0, 18.0], shoonya_0sYJRSWQO8V5O4, 6457575]
[paragraph, [303.0, 73.0, 246.0, 18.0], EYqPG_ZJC2, 6457575]
[paragraph, [46.0, 78.0, 254.0, 18.0], 0TXBapDiSo, 6457575]
[paragraph, [304.0, 94.0, 249.0, 18.0], eMIez4SJ4U, 6457575]
[paragraph, [304.0, 112.0, 249.0, 18.0], eMIez4SJ4U, 6457575]
[paragraph, [46.0, 115.0, 254.0, 18.0], TIUfJGWzHU, 6457575]
[paragraph, [46.0, 133.0, 254.0, 18.0], TIUfJGWzHU, 6457575]
[paragraph, [46.0, 151.0, 254.0, 18.0], TIUfJGWzHU, 6457575]
[paragraph, [46.0, 169.0, 254.0, 18.0], TIUfJGWzHU, 6457575]
[paragraph, [46.0, 187.0, 254.0, 18.0], TIUfJGWzHU, 6457575]
[paragraph, [46.0, 205.0, 254.0, 18.0], TIUfJGWzHU, 6457575]
[paragraph, [303.0, 130.0, 252.0, 18.0], KU2t2LzqzX, 6457575]
[paragraph, [303.0, 148.0, 252.0, 18.0], KU2t2LzqzX, 6457575]
[paragraph, [304.0, 183.0, 250.0, 18.0], AJYqPM_fUC, 6457575]
[paragraph, [303.0, 217.0, 252.0, 18.0], -ezXym9Wnr, 6457575]
[paragraph, [303.0, 235.0, 252.0, 18.0], -ezXym9Wnr, 6457575]
[paragraph, [50.0, 238.0, 249.0, 18.0], WbVxB0M-Hm, 6457575]
[paragraph, [50.0, 256.0, 249.0, 18.0], WbVxB0M-Hm, 6457575]
[paragraph, [304.0, 273.0, 247.0, 18.0], 5fdlvJ43a0, 6457575]
[paragraph, [54.0, 278.0, 217.0, 18.0], k18Lr7v_vp, 6457575]
[paragraph, [53.0, 302.0, 247.0, 18.0], weWhSK43a6, 6457575]
[paragraph, [53.0, 320.0, 247.0, 18.0], weWhSK43a6, 6457575]
[paragraph, [53.0, 338.0, 247.0, 18.0], weWhSK43a6, 6457575]
[paragraph, [305.0, 308.0, 248.0, 18.0], 1K1_6uZkwX, 6457575]
[paragraph, [305.0, 326.0, 248.0, 18.0], 1K1_6uZkwX, 6457575]
[paragraph, [53.0, 357.0, 245.0, 18.0], FKiw3es53X, 6457575]
[paragraph, [53.0, 375.0, 245.0, 18.0], FKiw3es53X, 6457575]
[paragraph, [305.0, 362.0, 249.0, 18.0], twOwY-r7Ho, 6457575]
[paragraph, [305.0, 380.0, 249.0, 18.0], twOwY-r7Ho, 6457575]
[paragraph, [55.0, 399.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 417.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 435.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 453.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 471.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 489.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 507.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 525.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 543.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 561.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 579.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [55.0, 597.0, 246.0, 18.0], Nc1mdJ754D, 6457575]
[paragraph, [303.0, 416.0, 256.0, 18.0], _TFw8M4i96, 6457575]
[paragraph, [305.0, 434.0, 250.0, 18.0], sbfMsfMYLK, 6457575]
[paragraph, [305.0, 452.0, 250.0, 18.0], sbfMsfMYLK, 6457575]
[paragraph, [304.0, 470.0, 252.0, 18.0], FHWNpyYN9B, 6457575]
[paragraph, [304.0, 488.0, 252.0, 18.0], FHWNpyYN9B, 6457575]
[paragraph, [304.0, 524.0, 252.0, 18.0], tCyZuHY8XD, 6457575]
[paragraph, [305.0, 559.0, 251.0, 18.0], LMHVLeWx_P, 6457575]
[paragraph, [305.0, 577.0, 251.0, 18.0], LMHVLeWx_P, 6457575]
[reference, [300.0, 598.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 616.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 634.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 652.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 670.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 688.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 706.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 724.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 742.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 760.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 778.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 796.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [300.0, 814.0, 259.0, 18.0], EFZtYrQWX-, 6457575]
[reference, [50.0, 627.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 645.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 663.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 681.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 699.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 717.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 735.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 753.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 771.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 789.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
[reference, [50.0, 807.0, 248.0, 18.0], xcJZhxdw_8, 6457575]
