[2200, 1700]
[paragraph, [140.0, 210.0, 653.0, 36.0], shoonya_0sWPXZH140YQ8Q, 5752982]
[paragraph, [140.0, 246.0, 653.0, 36.0], shoonya_0sWPXZH140YQ8Q, 5752982]
[paragraph, [140.0, 282.0, 653.0, 36.0], shoonya_0sWPXZH140YQ8Q, 5752982]
[paragraph, [903.0, 210.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 246.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 282.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 318.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 354.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 390.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 426.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 462.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 498.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 534.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [903.0, 570.0, 282.0, 36.0], LBKUeKYzUt, 5752982]
[paragraph, [144.0, 391.0, 654.0, 36.0], BjVAnXf5rW, 5752982]
[paragraph, [144.0, 427.0, 654.0, 36.0], BjVAnXf5rW, 5752982]
[paragraph, [144.0, 463.0, 654.0, 36.0], BjVAnXf5rW, 5752982]
[paragraph, [144.0, 499.0, 654.0, 36.0], BjVAnXf5rW, 5752982]
[paragraph, [144.0, 580.0, 652.0, 36.0], Irgvz5hiD5, 5752982]
[paragraph, [144.0, 616.0, 652.0, 36.0], Irgvz5hiD5, 5752982]
[paragraph, [144.0, 652.0, 652.0, 36.0], Irgvz5hiD5, 5752982]
[paragraph, [144.0, 688.0, 652.0, 36.0], Irgvz5hiD5, 5752982]
[paragraph, [896.0, 633.0, 660.0, 36.0], 8dOgIp_igI, 5752982]
[paragraph, [896.0, 669.0, 660.0, 36.0], 8dOgIp_igI, 5752982]
[paragraph, [896.0, 705.0, 660.0, 36.0], 8dOgIp_igI, 5752982]
[paragraph, [896.0, 741.0, 660.0, 36.0], 8dOgIp_igI, 5752982]
[paragraph, [896.0, 777.0, 660.0, 36.0], 8dOgIp_igI, 5752982]
[paragraph, [144.0, 769.0, 650.0, 36.0], lhcDFax7R7, 5752982]
[paragraph, [144.0, 805.0, 650.0, 36.0], lhcDFax7R7, 5752982]
[paragraph, [144.0, 841.0, 650.0, 36.0], lhcDFax7R7, 5752982]
[paragraph, [144.0, 877.0, 650.0, 36.0], lhcDFax7R7, 5752982]
[paragraph, [144.0, 913.0, 650.0, 36.0], lhcDFax7R7, 5752982]
[website-link, [896.0, 822.0, 611.0, 18.0], Kshc-viS8L, 5752982]
[website-link, [896.0, 840.0, 611.0, 18.0], Kshc-viS8L, 5752982]
[section-title, [155.0, 1016.0, 705.0, 52.5], CgyCEI4L9y, 5752982]
[unordered-list, [204.0, 1115.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1151.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1187.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1223.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1259.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1295.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1331.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1367.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1403.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1439.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1475.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1511.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1547.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1583.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1619.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1655.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1691.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1727.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1763.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1799.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1835.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1871.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
[unordered-list, [204.0, 1907.0, 1270.0, 36.0], RLJ3lxnM3_, 5752982]
