[720, 504]
[folio, [47.0, 86.0, 88.0, 18.0], U-Uogn_nr4, 5650749]
[paragraph, [259.0, 111.0, 197.0, 18.0], shoonya_3sSERY2C5U060I, 5650749]
[paragraph, [259.0, 129.0, 197.0, 18.0], shoonya_3sSERY2C5U060I, 5650749]
[paragraph, [259.0, 147.0, 197.0, 18.0], shoonya_3sSERY2C5U060I, 5650749]
[paragraph, [259.0, 165.0, 197.0, 18.0], shoonya_3sSERY2C5U060I, 5650749]
[paragraph, [259.0, 183.0, 197.0, 18.0], shoonya_3sSERY2C5U060I, 5650749]
[paragraph, [48.0, 112.0, 197.0, 18.0], shoonya_5sS99XVRXRH6O3, 5650749]
[paragraph, [47.0, 143.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 161.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 179.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 197.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 215.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 233.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 251.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 269.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 287.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 305.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 323.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 341.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [47.0, 359.0, 198.0, 18.0], shoonya_0sQ87S5PMVNEE9, 5650749]
[paragraph, [259.0, 233.0, 196.0, 18.0], shoonya_1sP3KX45DE0AIL, 5650749]
[paragraph, [259.0, 251.0, 196.0, 18.0], shoonya_1sP3KX45DE0AIL, 5650749]
[paragraph, [259.0, 269.0, 196.0, 18.0], shoonya_1sP3KX45DE0AIL, 5650749]
[paragraph, [259.0, 287.0, 196.0, 18.0], shoonya_1sP3KX45DE0AIL, 5650749]
[paragraph, [259.0, 305.0, 196.0, 18.0], shoonya_1sP3KX45DE0AIL, 5650749]
[paragraph, [258.0, 356.0, 197.0, 18.0], shoonya_4sMJZA6XZP6XZE, 5650749]
