[1305, 725]
[folio, [567.0, 52.0, 131.0, 18.0], shoonya_0sNG5JUDKXVVHB, 5782062]
[folio, [567.0, 70.0, 131.0, 18.0], shoonya_0sNG5JUDKXVVHB, 5782062]
[folio, [567.0, 88.0, 131.0, 18.0], shoonya_0sNG5JUDKXVVHB, 5782062]
[section-title, [253.0, 110.0, 224.0, 30.0], a1yHhqiMha, 5782062]
[figure-caption, [537.0, 726.0, 155.0, 18.0], MUdITPxJGp, 5782062]
[figure-caption, [141.0, 774.0, 428.0, 18.0], YWDJ3lFjaF, 5782062]
[ordered-list, [28.0, 818.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 836.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 854.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 872.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 890.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 908.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 926.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 944.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 962.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 980.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 998.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 1016.0, 680.0, 18.0], LYCeappoMN, 5782062]
[ordered-list, [28.0, 1034.0, 680.0, 18.0], LYCeappoMN, 5782062]
[sub-ordered-list, [35.0, 846.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 864.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 882.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 900.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 918.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 936.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 954.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 972.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 990.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 1008.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[sub-ordered-list, [35.0, 1026.0, 671.0, 18.0], 7L80KtgZ70, 5782062]
[subsub-ordered-list, [34.0, 876.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 894.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 912.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 930.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 948.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 966.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 984.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 1002.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[subsub-ordered-list, [34.0, 1020.0, 671.0, 18.0], H4ELCdCoFc, 5782062]
[ordered-list, [30.0, 1058.0, 681.0, 18.0], f0j7Rtiffg, 5782062]
[ordered-list, [30.0, 1076.0, 681.0, 18.0], f0j7Rtiffg, 5782062]
[ordered-list, [30.0, 1094.0, 681.0, 18.0], f0j7Rtiffg, 5782062]
[ordered-list, [30.0, 1112.0, 681.0, 18.0], f0j7Rtiffg, 5782062]
[ordered-list, [30.0, 1137.0, 680.0, 18.0], F4PlPZOvQB, 5782062]
[ordered-list, [30.0, 1155.0, 680.0, 18.0], F4PlPZOvQB, 5782062]
[ordered-list, [30.0, 1173.0, 680.0, 18.0], F4PlPZOvQB, 5782062]
[ordered-list, [30.0, 1191.0, 680.0, 18.0], F4PlPZOvQB, 5782062]
[ordered-list, [30.0, 1209.0, 680.0, 18.0], F4PlPZOvQB, 5782062]
