[1162, 749]
[folio, [307.0, 75.0, 128.0, 18.0], shoonya_4s10HTHUJE5EIZ, 5699517]
[paragraph, [77.0, 121.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 139.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 157.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 175.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 193.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 211.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 229.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 247.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [77.0, 265.0, 598.0, 18.0], shoonya_3sPJCPQUKT4PYC, 5699517]
[paragraph, [79.0, 296.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 314.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 332.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 350.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 368.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 386.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 404.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 422.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 440.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 458.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 476.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 494.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 512.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 530.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 548.0, 592.0, 18.0], shoonya_1sO1QPNUHRPMCA, 5699517]
[paragraph, [79.0, 572.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 590.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 608.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 626.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 644.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 662.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 680.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 698.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 716.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 734.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 752.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
[paragraph, [79.0, 770.0, 593.0, 18.0], shoonya_0s1L8LEPMNRSJL, 5699517]
