[1667, 1042]
[paragraph, [74.0, 130.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 166.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 202.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 238.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 274.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 310.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 346.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 382.0, 842.0, 36.0], BKD0VgKXln, 5752720]
[paragraph, [74.0, 432.0, 844.0, 36.0], RM3sjB5P1J, 5752720]
[paragraph, [74.0, 468.0, 844.0, 36.0], RM3sjB5P1J, 5752720]
[paragraph, [74.0, 504.0, 844.0, 36.0], RM3sjB5P1J, 5752720]
[paragraph, [72.0, 583.0, 844.0, 36.0], nF3JvdTa1D, 5752720]
[paragraph, [72.0, 619.0, 844.0, 36.0], nF3JvdTa1D, 5752720]
[paragraph, [72.0, 655.0, 844.0, 36.0], nF3JvdTa1D, 5752720]
[paragraph, [72.0, 691.0, 844.0, 36.0], nF3JvdTa1D, 5752720]
[paragraph, [72.0, 727.0, 844.0, 36.0], nF3JvdTa1D, 5752720]
[paragraph, [72.0, 763.0, 844.0, 36.0], nF3JvdTa1D, 5752720]
[paragraph, [69.0, 834.0, 846.0, 36.0], 33cZHNcRg5, 5752720]
[paragraph, [69.0, 870.0, 846.0, 36.0], 33cZHNcRg5, 5752720]
[paragraph, [69.0, 906.0, 846.0, 36.0], 33cZHNcRg5, 5752720]
[paragraph, [69.0, 942.0, 846.0, 36.0], 33cZHNcRg5, 5752720]
[paragraph, [69.0, 978.0, 846.0, 36.0], 33cZHNcRg5, 5752720]
[paragraph, [69.0, 1014.0, 846.0, 36.0], 33cZHNcRg5, 5752720]
[paragraph, [69.0, 1088.0, 328.0, 36.0], It_0C3LV8_, 5752720]
[headline, [181.0, 1233.0, 623.0, 37.5], S7VGK6CMTZ, 5752720]
[paragraph, [71.0, 1337.0, 844.0, 36.0], CeRlBkolGS, 5752720]
[paragraph, [71.0, 1373.0, 844.0, 36.0], CeRlBkolGS, 5752720]
[paragraph, [71.0, 1409.0, 844.0, 36.0], CeRlBkolGS, 5752720]
[paragraph, [71.0, 1445.0, 844.0, 36.0], CeRlBkolGS, 5752720]
[paragraph, [71.0, 1481.0, 844.0, 36.0], CeRlBkolGS, 5752720]
