[792, 612]
[section-title, [273.0, 114.0, 105.0, 30.0], CNkOQlz54u, 5769844]
[paragraph, [164.0, 213.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 231.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 249.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 267.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 285.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 303.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 321.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 339.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 357.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 375.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 393.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 411.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 429.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 447.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 465.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[paragraph, [164.0, 483.0, 337.0, 18.0], shoonya_0sYWQL2NJBKCGY, 5769844]
[contact-info, [311.0, 531.0, 190.0, 18.0], lPXgx0l0Dt, 5769844]
[contact-info, [311.0, 549.0, 190.0, 18.0], lPXgx0l0Dt, 5769844]
[contact-info, [311.0, 567.0, 190.0, 18.0], lPXgx0l0Dt, 5769844]
[contact-info, [311.0, 585.0, 190.0, 18.0], lPXgx0l0Dt, 5769844]
[contact-info, [159.0, 540.0, 92.0, 18.0], cmWYPaFmkT, 5769844]
[contact-info, [159.0, 558.0, 92.0, 18.0], cmWYPaFmkT, 5769844]
