[1300, 932]
[paragraph, [85.0, 105.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 123.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 141.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 159.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 177.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 195.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 213.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 231.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 249.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 267.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 285.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 303.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 321.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 339.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 357.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 375.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 393.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 411.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 429.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 447.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 465.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 483.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 501.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 519.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 537.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 555.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 573.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 591.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 609.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 627.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 645.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 663.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 681.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 699.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 717.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 735.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 753.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 771.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 789.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 807.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 825.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 843.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 861.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 879.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 897.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 915.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 933.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 951.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 969.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 987.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
[paragraph, [85.0, 1005.0, 644.0, 18.0], shoonya_0sWUGEZW2X0TXU, 5776638]
