[1241, 877]
[folio, [671.0, 72.0, 88.0, 18.0], shoonya_3sVUBINN2ADXWR, 5697685]
[paragraph, [111.0, 116.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 134.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 152.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 170.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 188.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 206.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 224.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[paragraph, [111.0, 242.0, 652.0, 18.0], shoonya_0sLYG37C2LWHW9, 5697685]
[ordered-list, [112.0, 312.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 330.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 348.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 366.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 384.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 402.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 420.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 438.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 456.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 474.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 492.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 510.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 528.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 546.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 564.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 582.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 600.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 618.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 636.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 654.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[ordered-list, [112.0, 672.0, 650.0, 18.0], shoonya_9sA1OCQ6KCFFZS, 5697685]
[reference, [110.0, 722.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 740.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 758.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 776.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 794.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 812.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 830.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 848.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 866.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 884.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 902.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 920.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 938.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 956.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 974.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 992.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1010.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1028.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1046.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1064.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1082.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1100.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
[reference, [110.0, 1118.0, 625.0, 18.0], shoonya_8sFF935TMC2B3Q, 5697685]
