[1500, 1050]
[folio, [658.0, 76.0, 197.0, 36.0], HS4v30BMVw, 5760172]
[paragraph, [214.0, 129.0, 648.0, 36.0], shoonya_0s8VCKMTOJ3YDG, 5760172]
[paragraph, [214.0, 165.0, 648.0, 36.0], shoonya_0s8VCKMTOJ3YDG, 5760172]
[paragraph, [214.0, 201.0, 648.0, 36.0], shoonya_0s8VCKMTOJ3YDG, 5760172]
[paragraph, [214.0, 237.0, 648.0, 36.0], shoonya_0s8VCKMTOJ3YDG, 5760172]
[sidebar, [698.0, 218.0, 148.0, 36.0], ff5NGVhcCg, 5760172]
[paragraph, [173.0, 273.0, 688.0, 36.0], shoonya_3sZ4JV8ABFEQP8, 5760172]
[paragraph, [173.0, 309.0, 688.0, 36.0], shoonya_3sZ4JV8ABFEQP8, 5760172]
[paragraph, [173.0, 345.0, 688.0, 36.0], shoonya_3sZ4JV8ABFEQP8, 5760172]
[paragraph, [173.0, 381.0, 688.0, 36.0], shoonya_3sZ4JV8ABFEQP8, 5760172]
[paragraph, [173.0, 525.0, 702.0, 36.0], -aX1r6h6ru, 5760172]
[paragraph, [173.0, 561.0, 702.0, 36.0], -aX1r6h6ru, 5760172]
[paragraph, [173.0, 597.0, 702.0, 36.0], -aX1r6h6ru, 5760172]
[paragraph, [173.0, 633.0, 702.0, 36.0], -aX1r6h6ru, 5760172]
[paragraph, [176.0, 672.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 708.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 744.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 780.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 816.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 852.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 888.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [176.0, 924.0, 692.0, 36.0], jQ6SRvjOHP, 5760172]
[paragraph, [178.0, 1000.0, 694.0, 36.0], qv5MczvFrg, 5760172]
[paragraph, [178.0, 1036.0, 694.0, 36.0], qv5MczvFrg, 5760172]
[paragraph, [178.0, 1072.0, 694.0, 36.0], qv5MczvFrg, 5760172]
[paragraph, [179.0, 1136.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
[paragraph, [179.0, 1172.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
[paragraph, [179.0, 1208.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
[paragraph, [179.0, 1244.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
[paragraph, [179.0, 1280.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
[paragraph, [179.0, 1316.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
[paragraph, [179.0, 1352.0, 698.0, 36.0], TkuO8x5b0R, 5760172]
