[1818, 1374]
[folio, [639.0, 105.0, 84.0, 36.0], shoonya_0sADEPK6E5ZRQ6, 5682156]
[paragraph, [693.0, 178.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 214.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 250.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 286.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 322.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 358.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 394.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 430.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [693.0, 466.0, 571.0, 36.0], tP9w5LquFY, 5682156]
[paragraph, [106.0, 180.0, 563.0, 36.0], 83dIrW01H6, 5682156]
[paragraph, [106.0, 216.0, 563.0, 36.0], 83dIrW01H6, 5682156]
[paragraph, [145.0, 264.0, 472.0, 36.0], aNNelZZ_WL, 5682156]
[paragraph, [108.0, 348.0, 563.0, 36.0], jdSFXN3Eks, 5682156]
[paragraph, [108.0, 384.0, 563.0, 36.0], jdSFXN3Eks, 5682156]
[paragraph, [108.0, 420.0, 563.0, 36.0], jdSFXN3Eks, 5682156]
[paragraph, [106.0, 478.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 514.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 550.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 586.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 622.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 658.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 694.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 730.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 766.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 802.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 838.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 874.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 910.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [106.0, 946.0, 566.0, 36.0], s2TvYuUcA9, 5682156]
[paragraph, [695.0, 523.0, 571.0, 36.0], YN55EnPjPT, 5682156]
[paragraph, [695.0, 559.0, 571.0, 36.0], YN55EnPjPT, 5682156]
[paragraph, [695.0, 595.0, 571.0, 36.0], YN55EnPjPT, 5682156]
[paragraph, [695.0, 631.0, 571.0, 36.0], YN55EnPjPT, 5682156]
[paragraph, [735.0, 734.0, 415.0, 36.0], 36Ei3397bR, 5682156]
[paragraph, [699.0, 777.0, 566.0, 36.0], aTHbpn-zmB, 5682156]
[paragraph, [699.0, 813.0, 566.0, 36.0], aTHbpn-zmB, 5682156]
[paragraph, [699.0, 849.0, 566.0, 36.0], aTHbpn-zmB, 5682156]
[paragraph, [699.0, 885.0, 566.0, 36.0], aTHbpn-zmB, 5682156]
[paragraph, [699.0, 921.0, 566.0, 36.0], aTHbpn-zmB, 5682156]
[paragraph, [697.0, 990.0, 570.0, 36.0], sqt_V_ctYO, 5682156]
[paragraph, [697.0, 1026.0, 570.0, 36.0], sqt_V_ctYO, 5682156]
[paragraph, [697.0, 1062.0, 570.0, 36.0], sqt_V_ctYO, 5682156]
[paragraph, [106.0, 992.0, 565.0, 36.0], 6Wxjj2TtIW, 5682156]
[paragraph, [106.0, 1028.0, 565.0, 36.0], 6Wxjj2TtIW, 5682156]
[paragraph, [104.0, 1076.0, 570.0, 36.0], nJoDDTXeaO, 5682156]
