[2339, 1656]
[section-title, [191.0, 822.0, 221.0, 52.5], shoonya_1sUET1VPQSIVY5, 5752245]
[paragraph, [182.0, 911.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 947.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 983.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 1019.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 1055.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 1091.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 1127.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 1163.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[paragraph, [182.0, 1199.0, 1270.0, 36.0], QSdvamm4-O, 5752245]
[folio, [994.0, 2137.0, 367.0, 36.0], PiNRVEXztL, 5752245]
[folio, [290.0, 2139.0, 508.0, 36.0], Nj6JeQnXtw, 5752245]
