[3509, 2480]
[paragraph, [344.0, 399.0, 1770.0, 52.5], Fbwozm3rHz, 5724342]
[paragraph, [344.0, 451.5, 1770.0, 52.5], Fbwozm3rHz, 5724342]
[paragraph, [344.0, 504.0, 1770.0, 52.5], Fbwozm3rHz, 5724342]
[paragraph, [330.0, 658.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 710.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 763.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 815.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 868.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 920.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 973.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1025.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1078.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1130.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1183.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1235.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1288.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1340.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1393.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1445.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1498.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1550.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1603.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1655.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1708.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1760.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1813.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1865.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1918.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 1970.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 2023.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 2075.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 2128.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 2180.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 2233.0, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [330.0, 2285.5, 1798.0, 52.5], shoonya_1sFBG20EMZO4IO, 5724342]
[paragraph, [313.0, 2432.0, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2484.5, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2537.0, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2589.5, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2642.0, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2694.5, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2747.0, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2799.5, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2852.0, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2904.5, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 2957.0, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
[paragraph, [313.0, 3009.5, 1834.0, 52.5], shoonya_0s4V57O8TWUHR6, 5724342]
