[2084, 1289]
[ordered-list, [128.0, 267.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 303.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 339.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 375.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 411.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 447.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 483.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[ordered-list, [128.0, 519.0, 1037.0, 36.0], shoonya_1s03PPTKU2LYS0, 5660523]
[section-title, [556.0, 625.0, 154.0, 52.5], shoonya_7sS6H5E5Q1VE2K, 5660523]
[paragraph, [129.0, 713.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 749.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 785.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 821.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 857.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 893.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 929.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 965.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1001.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1037.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1073.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1109.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1145.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1181.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1217.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1253.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1289.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1325.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1361.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[paragraph, [129.0, 1397.0, 1031.0, 36.0], shoonya_0sVEOZU46DLJA6, 5660523]
[ordered-list, [129.0, 1460.0, 1032.0, 36.0], Rc8S6EWru6, 5660523]
[ordered-list, [129.0, 1496.0, 1032.0, 36.0], Rc8S6EWru6, 5660523]
[ordered-list, [129.0, 1532.0, 1032.0, 36.0], Rc8S6EWru6, 5660523]
[ordered-list, [129.0, 1568.0, 1032.0, 36.0], Rc8S6EWru6, 5660523]
[ordered-list, [129.0, 1604.0, 1032.0, 36.0], Rc8S6EWru6, 5660523]
[ordered-list, [128.0, 1777.0, 1028.0, 36.0], shoonya_3sPYRTB8CL0IFW, 5660523]
[ordered-list, [128.0, 1813.0, 1028.0, 36.0], shoonya_3sPYRTB8CL0IFW, 5660523]
[ordered-list, [128.0, 1849.0, 1028.0, 36.0], shoonya_3sPYRTB8CL0IFW, 5660523]
[folio, [631.0, 1935.0, 657.0, 36.0], shoonya_2sRV0FPETIWXTD, 5660523]
[folio, [631.0, 1971.0, 657.0, 36.0], shoonya_2sRV0FPETIWXTD, 5660523]
