[2342, 1656]
[section-title, [149.0, 47.0, 1100.0, 52.5], shoonya_3s2VW6RQF74JEU, 5657180]
[section-title, [149.0, 99.5, 1100.0, 52.5], shoonya_3s2VW6RQF74JEU, 5657180]
[section-title, [149.0, 152.0, 1100.0, 52.5], shoonya_3s2VW6RQF74JEU, 5657180]
[section-title, [149.0, 204.5, 1100.0, 52.5], shoonya_3s2VW6RQF74JEU, 5657180]
[ordered-list, [122.0, 364.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 400.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 436.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 472.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 508.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 544.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 580.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 616.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 652.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 688.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 724.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 760.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [122.0, 796.0, 1450.0, 36.0], shoonya_4sTWSJO9CZBJ7Q, 5657180]
[ordered-list, [103.0, 1524.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1560.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1596.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1632.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1668.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1704.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1740.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1776.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1812.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1848.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1884.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1920.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1956.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 1992.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 2028.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 2064.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
[ordered-list, [103.0, 2100.0, 1548.0, 36.0], RwHOPUzpJ-, 5657180]
