[1948, 1214]
[folio, [910.0, 139.0, 165.0, 36.0], owVZyrXrrF, 5732778]
[paragraph, [141.0, 217.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 253.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 289.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 325.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 361.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 397.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 433.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 469.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 505.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[paragraph, [141.0, 541.0, 937.0, 36.0], shoonya_3sKDOZ9R2U62OY, 5732778]
[section-title, [189.0, 627.0, 112.0, 49.5], shoonya_5sVPVZ0EX4NMJ1, 5732778]
[paragraph, [144.0, 690.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 726.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 762.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 798.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 834.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 870.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 906.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 942.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 978.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1014.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1050.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1086.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1122.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1158.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1194.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1230.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1266.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1302.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1338.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1374.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1410.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1446.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1482.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1518.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1554.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1590.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[paragraph, [144.0, 1626.0, 904.0, 36.0], shoonya_0sEO31XJ6YLCNA, 5732778]
[footnote, [180.0, 1682.0, 427.0, 36.0], shoonya_1sXRHTEJF5RXNL, 5732778]
[footnote, [180.0, 1718.0, 427.0, 36.0], shoonya_1sXRHTEJF5RXNL, 5732778]
[folio, [510.0, 1844.0, 201.0, 36.0], bfLbuHYp39, 5732778]
