[1755, 1241]
[folio, [521.0, 207.0, 516.0, 36.0], WeyrYL7-Hy, 5759864]
[paragraph, [207.0, 279.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [207.0, 315.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [207.0, 351.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [207.0, 387.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [207.0, 423.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [207.0, 459.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [207.0, 495.0, 839.0, 36.0], GJta6gAHj8, 5759864]
[paragraph, [210.0, 555.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 591.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 627.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 663.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 699.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 735.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 771.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 807.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 843.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 879.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 915.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 951.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 987.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [210.0, 1023.0, 837.0, 36.0], Cu-scn4QFW, 5759864]
[paragraph, [207.0, 1080.0, 837.0, 36.0], XZRiKIYw46, 5759864]
[paragraph, [207.0, 1116.0, 837.0, 36.0], XZRiKIYw46, 5759864]
[paragraph, [207.0, 1152.0, 837.0, 36.0], XZRiKIYw46, 5759864]
[paragraph, [207.0, 1188.0, 837.0, 36.0], XZRiKIYw46, 5759864]
[paragraph, [210.0, 1263.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1299.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1335.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1371.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1407.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1443.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1479.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1515.0, 842.0, 36.0], iqsjhlULL0, 5759864]
[paragraph, [210.0, 1551.0, 842.0, 36.0], iqsjhlULL0, 5759864]
