[1684, 1191]
[contact-info, [101.0, 120.0, 712.0, 36.0], shoonya_5sOTWHDXZ9VXVE, 6464215]
[contact-info, [101.0, 156.0, 712.0, 36.0], shoonya_5sOTWHDXZ9VXVE, 6464215]
[contact-info, [101.0, 192.0, 712.0, 36.0], shoonya_5sOTWHDXZ9VXVE, 6464215]
[headline, [185.0, 296.0, 830.0, 37.5], shoonya_3sWPPQLLV1F8OH, 6464215]
[paragraph, [73.0, 399.0, 1026.0, 36.0], shoonya_0sTH0L020KG6FV, 6464215]
[paragraph, [73.0, 435.0, 1026.0, 36.0], shoonya_0sTH0L020KG6FV, 6464215]
[paragraph, [73.0, 471.0, 1026.0, 36.0], shoonya_0sTH0L020KG6FV, 6464215]
[paragraph, [73.0, 507.0, 1026.0, 36.0], shoonya_0sTH0L020KG6FV, 6464215]
[paragraph, [73.0, 543.0, 1026.0, 36.0], shoonya_0sTH0L020KG6FV, 6464215]
[paragraph, [80.0, 606.0, 1025.0, 36.0], shoonya_1s24S4GQTJKD5T, 6464215]
[paragraph, [80.0, 642.0, 1025.0, 36.0], shoonya_1s24S4GQTJKD5T, 6464215]
[paragraph, [80.0, 678.0, 1025.0, 36.0], shoonya_1s24S4GQTJKD5T, 6464215]
[paragraph, [80.0, 714.0, 1025.0, 36.0], shoonya_1s24S4GQTJKD5T, 6464215]
[paragraph, [80.0, 750.0, 1025.0, 36.0], shoonya_1s24S4GQTJKD5T, 6464215]
[paragraph, [120.0, 824.0, 811.0, 36.0], gV_W4MWmjL, 6464215]
[paragraph, [120.0, 860.0, 811.0, 36.0], gV_W4MWmjL, 6464215]
[paragraph, [120.0, 896.0, 811.0, 36.0], gV_W4MWmjL, 6464215]
[paragraph, [120.0, 932.0, 811.0, 36.0], gV_W4MWmjL, 6464215]
[folio, [284.0, 981.0, 635.0, 36.0], dHDlmVyzgW, 6464215]
[paragraph, [142.0, 1049.0, 970.0, 36.0], wstIRoGViD, 6464215]
[paragraph, [142.0, 1085.0, 970.0, 36.0], wstIRoGViD, 6464215]
[paragraph, [128.0, 1122.0, 991.0, 36.0], oDOr8hhpOv, 6464215]
[paragraph, [128.0, 1158.0, 991.0, 36.0], oDOr8hhpOv, 6464215]
[paragraph, [139.0, 1223.0, 522.0, 36.0], 8lqlMLhhhX, 6464215]
[paragraph, [96.0, 1354.0, 1003.0, 36.0], shoonya_4sNX6EFB79GK23, 6464215]
[paragraph, [96.0, 1390.0, 1003.0, 36.0], shoonya_4sNX6EFB79GK23, 6464215]
[paragraph, [96.0, 1426.0, 1003.0, 36.0], shoonya_4sNX6EFB79GK23, 6464215]
[paragraph, [96.0, 1462.0, 1003.0, 36.0], shoonya_4sNX6EFB79GK23, 6464215]
