[2278, 1778]
[folio, [106.0, 48.0, 412.0, 36.0], Hw7lKOJ7Pn, 5757817]
[folio, [106.0, 84.0, 412.0, 36.0], Hw7lKOJ7Pn, 5757817]
[folio, [106.0, 120.0, 412.0, 36.0], Hw7lKOJ7Pn, 5757817]
[folio, [106.0, 156.0, 412.0, 36.0], Hw7lKOJ7Pn, 5757817]
[folio, [106.0, 192.0, 412.0, 36.0], Hw7lKOJ7Pn, 5757817]
[folio, [1307.0, 75.0, 350.0, 36.0], UxsjV88pNm, 5757817]
[section-title, [599.0, 301.0, 581.0, 52.5], fNKQYwvP9I, 5757817]
[sub-section-title, [129.0, 405.0, 415.0, 55.5], shoonya_6sLPYHS8RJHCP3, 5757817]
[paragraph, [128.0, 475.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 511.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 547.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 583.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 619.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 655.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 691.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 727.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 763.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 799.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 835.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 871.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 907.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 943.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[paragraph, [128.0, 979.0, 1539.0, 36.0], shoonya_1sKD28NO1Q06RY, 5757817]
[sub-section-title, [140.0, 1029.0, 279.0, 55.5], shoonya_8s4TGK2M5HJ043, 5757817]
[paragraph, [137.0, 1086.0, 1532.0, 36.0], shoonya_3sITPL1MWECIRY, 5757817]
[paragraph, [137.0, 1122.0, 1532.0, 36.0], shoonya_3sITPL1MWECIRY, 5757817]
[paragraph, [137.0, 1158.0, 1532.0, 36.0], shoonya_3sITPL1MWECIRY, 5757817]
[paragraph, [137.0, 1194.0, 1532.0, 36.0], shoonya_3sITPL1MWECIRY, 5757817]
[paragraph, [137.0, 1230.0, 1532.0, 36.0], shoonya_3sITPL1MWECIRY, 5757817]
[section-title, [617.0, 1301.0, 559.0, 52.5], BC18IZJy_r, 5757817]
[sub-section-title, [129.0, 1378.0, 415.0, 55.5], shoonya_5sHECFHZYGF2CY, 5757817]
[paragraph, [124.0, 1442.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1478.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1514.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1550.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1586.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1622.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1658.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1694.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1730.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[paragraph, [124.0, 1766.0, 1535.0, 36.0], shoonya_0sRZAX2TZCC38N, 5757817]
[sub-section-title, [122.0, 1813.0, 324.0, 55.5], qRb6IwM8XU, 5757817]
[paragraph, [126.0, 1889.0, 1541.0, 36.0], shoonya_2sEJBJ7BKV42XC, 5757817]
[paragraph, [126.0, 1925.0, 1541.0, 36.0], shoonya_2sEJBJ7BKV42XC, 5757817]
[paragraph, [126.0, 1961.0, 1541.0, 36.0], shoonya_2sEJBJ7BKV42XC, 5757817]
[paragraph, [126.0, 1997.0, 1541.0, 36.0], shoonya_2sEJBJ7BKV42XC, 5757817]
[paragraph, [126.0, 2033.0, 1541.0, 36.0], shoonya_2sEJBJ7BKV42XC, 5757817]
