[2339, 1653]
[paragraph, [251.0, 246.0, 1156.0, 36.0], shoonya_3sW3QPOYBLYEIV, 5686866]
[paragraph, [251.0, 282.0, 1156.0, 36.0], shoonya_3sW3QPOYBLYEIV, 5686866]
[paragraph, [251.0, 318.0, 1156.0, 36.0], shoonya_3sW3QPOYBLYEIV, 5686866]
[paragraph, [250.0, 384.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 420.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 456.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 492.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 528.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 564.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 600.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 636.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 672.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 708.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 744.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 780.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 816.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 852.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [250.0, 888.0, 1153.0, 36.0], shoonya_2sEFL1EUDOKKTS, 5686866]
[paragraph, [249.0, 938.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 974.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1010.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1046.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1082.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1118.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1154.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1190.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1226.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1262.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1298.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1334.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1370.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1406.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1442.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1478.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1514.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1550.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [249.0, 1586.0, 1154.0, 36.0], shoonya_0sG442IILLG77D, 5686866]
[paragraph, [247.0, 1633.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1669.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1705.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1741.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1777.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1813.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1849.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1885.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1921.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1957.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 1993.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 2029.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
[paragraph, [247.0, 2065.0, 1154.0, 36.0], shoonya_1s89SEBDTYY1MO, 5686866]
