[3509, 2480]
[paragraph, [657.0, 409.0, 799.0, 52.5], dQJuVQSxt8, 5723750]
[paragraph, [657.0, 461.5, 799.0, 52.5], dQJuVQSxt8, 5723750]
[paragraph, [657.0, 514.0, 799.0, 52.5], dQJuVQSxt8, 5723750]
[paragraph, [657.0, 566.5, 799.0, 52.5], dQJuVQSxt8, 5723750]
[paragraph, [368.0, 694.0, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 746.5, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 799.0, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 851.5, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 904.0, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 956.5, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 1009.0, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 1061.5, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 1114.0, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 1166.5, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 1219.0, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [368.0, 1271.5, 1760.0, 52.5], V-Z6Oq6pIb, 5723750]
[paragraph, [365.0, 1390.0, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1442.5, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1495.0, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1547.5, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1600.0, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1652.5, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1705.0, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1757.5, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1810.0, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1862.5, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1915.0, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [365.0, 1967.5, 1763.0, 52.5], shoonya_1sWLG0ADL79LUN, 5723750]
[paragraph, [359.0, 2085.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2137.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2190.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2242.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2295.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2347.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2400.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2452.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2505.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2557.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2610.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2662.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2715.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2767.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2820.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2872.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2925.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 2977.5, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
[paragraph, [359.0, 3030.0, 1770.0, 52.5], shoonya_0sZDZV6SG4G5QM, 5723750]
