[579, 408]
[headline, [39.0, 98.0, 315.0, 25.5], shoonya_1sKBRCYQA5TR7E, 5725682]
[headline, [39.0, 123.5, 315.0, 25.5], shoonya_1sKBRCYQA5TR7E, 5725682]
[paragraph, [38.0, 186.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 204.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 222.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 240.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 258.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 276.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 294.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 312.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 330.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 348.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 366.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 384.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 402.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 420.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 438.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 456.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 474.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
[paragraph, [38.0, 492.0, 324.0, 18.0], shoonya_0sI38HTTCLDHIG, 5725682]
