[870, 612]
[section-title, [287.0, 28.0, 95.0, 30.0], shoonya_0s1BV9Z541W3G9, 6460317]
[paragraph, [135.0, 79.0, 403.0, 18.0], DOdz39VBWy, 6460317]
[paragraph, [135.0, 97.0, 403.0, 18.0], DOdz39VBWy, 6460317]
[paragraph, [135.0, 115.0, 403.0, 18.0], DOdz39VBWy, 6460317]
[paragraph, [136.0, 159.0, 409.0, 18.0], cdvR4usFM6, 6460317]
[paragraph, [136.0, 177.0, 409.0, 18.0], cdvR4usFM6, 6460317]
[paragraph, [136.0, 195.0, 409.0, 18.0], cdvR4usFM6, 6460317]
[paragraph, [137.0, 238.0, 417.0, 18.0], qEV_kHfBKb, 6460317]
[paragraph, [137.0, 256.0, 417.0, 18.0], qEV_kHfBKb, 6460317]
[paragraph, [137.0, 274.0, 417.0, 18.0], qEV_kHfBKb, 6460317]
[paragraph, [137.0, 292.0, 417.0, 18.0], qEV_kHfBKb, 6460317]
[paragraph, [140.0, 329.0, 413.0, 18.0], h_H2p9Wxw-, 6460317]
[paragraph, [140.0, 347.0, 413.0, 18.0], h_H2p9Wxw-, 6460317]
[paragraph, [140.0, 365.0, 413.0, 18.0], h_H2p9Wxw-, 6460317]
[paragraph, [139.0, 410.0, 409.0, 18.0], rV0cAXnus8, 6460317]
[paragraph, [139.0, 428.0, 409.0, 18.0], rV0cAXnus8, 6460317]
[paragraph, [139.0, 446.0, 409.0, 18.0], rV0cAXnus8, 6460317]
[paragraph, [139.0, 464.0, 409.0, 18.0], rV0cAXnus8, 6460317]
[paragraph, [139.0, 494.0, 399.0, 18.0], -ckX0j-uz2, 6460317]
[paragraph, [139.0, 512.0, 399.0, 18.0], -ckX0j-uz2, 6460317]
[paragraph, [139.0, 530.0, 399.0, 18.0], -ckX0j-uz2, 6460317]
[paragraph, [141.0, 580.0, 418.0, 18.0], I6_kmH-mLk, 6460317]
[paragraph, [141.0, 598.0, 418.0, 18.0], I6_kmH-mLk, 6460317]
[paragraph, [141.0, 616.0, 418.0, 18.0], I6_kmH-mLk, 6460317]
[paragraph, [148.0, 666.0, 409.0, 18.0], 7-bTT5Js9o, 6460317]
[paragraph, [148.0, 684.0, 409.0, 18.0], 7-bTT5Js9o, 6460317]
[paragraph, [148.0, 702.0, 409.0, 18.0], 7-bTT5Js9o, 6460317]
