[1625, 1211]
[paragraph, [437.0, 75.0, 346.0, 36.0], shoonya_2sIDCDAE79WMBD, 5742109]
[paragraph, [437.0, 111.0, 346.0, 36.0], shoonya_2sIDCDAE79WMBD, 5742109]
[paragraph, [437.0, 147.0, 346.0, 36.0], shoonya_2sIDCDAE79WMBD, 5742109]
[paragraph, [437.0, 183.0, 346.0, 36.0], shoonya_2sIDCDAE79WMBD, 5742109]
[paragraph, [437.0, 219.0, 346.0, 36.0], shoonya_2sIDCDAE79WMBD, 5742109]
[paragraph, [437.0, 255.0, 346.0, 36.0], shoonya_2sIDCDAE79WMBD, 5742109]
[paragraph, [79.0, 79.0, 338.0, 36.0], shoonya_1s780WO86AW8A1, 5742109]
[paragraph, [79.0, 115.0, 338.0, 36.0], shoonya_1s780WO86AW8A1, 5742109]
[paragraph, [79.0, 151.0, 338.0, 36.0], shoonya_1s780WO86AW8A1, 5742109]
[paragraph, [795.0, 79.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 115.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 151.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 187.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 223.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 259.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 295.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 331.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 367.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 403.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [795.0, 439.0, 347.0, 36.0], shoonya_6sWILRVJNOK2J1, 5742109]
[paragraph, [73.0, 221.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 257.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 293.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 329.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 365.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 401.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 437.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 473.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [73.0, 509.0, 353.0, 36.0], shoonya_5sKWX49P8X1EKM, 5742109]
[paragraph, [438.0, 304.0, 341.0, 36.0], shoonya_3s1I6UC2CJGRN1, 5742109]
[paragraph, [438.0, 340.0, 341.0, 36.0], shoonya_3s1I6UC2CJGRN1, 5742109]
[paragraph, [438.0, 376.0, 341.0, 36.0], shoonya_3s1I6UC2CJGRN1, 5742109]
[paragraph, [438.0, 412.0, 341.0, 36.0], shoonya_3s1I6UC2CJGRN1, 5742109]
[paragraph, [438.0, 448.0, 341.0, 36.0], shoonya_3s1I6UC2CJGRN1, 5742109]
[author, [83.0, 566.0, 328.0, 36.0], yihTlthx-v, 5742109]
[paragraph, [70.0, 642.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 678.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 714.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 750.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 786.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 822.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 858.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 894.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 930.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 966.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [70.0, 1002.0, 345.0, 36.0], shoonya_7sX11ASOTYVW84, 5742109]
[paragraph, [69.0, 1079.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [69.0, 1115.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [69.0, 1151.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [69.0, 1187.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [69.0, 1223.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [69.0, 1259.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [69.0, 1295.0, 342.0, 36.0], ClzByH2ScF, 5742109]
[paragraph, [428.0, 1110.0, 333.0, 36.0], _ar2_wU0Tf, 5742109]
[paragraph, [428.0, 1146.0, 333.0, 36.0], _ar2_wU0Tf, 5742109]
