[1387, 987]
[paragraph, [61.0, 64.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 82.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 100.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 118.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 136.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 154.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 172.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [61.0, 190.0, 860.0, 18.0], shoonya_0sTYH5RUS6W491, 5651894]
[paragraph, [54.0, 216.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 234.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 252.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 270.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 288.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 306.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 324.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 342.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 360.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 378.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 396.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 414.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 432.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 450.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 468.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 486.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 504.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 522.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 540.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 558.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 576.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 594.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 612.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 630.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 648.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 666.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 684.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 702.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 720.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 738.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 756.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [54.0, 774.0, 898.0, 18.0], m1Rs4L7aOL, 5651894]
[paragraph, [32.0, 792.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [32.0, 810.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [32.0, 828.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [32.0, 846.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [32.0, 864.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [32.0, 882.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [32.0, 900.0, 942.0, 18.0], 8fhiFMas33, 5651894]
[paragraph, [82.0, 923.0, 494.0, 18.0], XS7SU5qt0u, 5651894]
[paragraph, [82.0, 941.0, 494.0, 18.0], XS7SU5qt0u, 5651894]
[paragraph, [82.0, 959.0, 494.0, 18.0], XS7SU5qt0u, 5651894]
[paragraph, [82.0, 977.0, 494.0, 18.0], XS7SU5qt0u, 5651894]
[paragraph, [43.0, 996.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1014.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1032.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1050.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1068.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1086.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1104.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1122.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1140.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1158.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1176.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1194.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1212.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1230.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1248.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
[paragraph, [43.0, 1266.0, 860.0, 18.0], Tg8Qbtw0ea, 5651894]
