[1350, 900]
[folio, [517.0, 160.0, 182.0, 18.0], FueigsMDUg, 5760715]
[paragraph, [160.0, 212.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 230.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 248.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 266.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 284.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 302.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 320.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 338.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 356.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 374.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 392.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 410.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 428.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 446.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 464.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 482.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 500.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 518.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 536.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [160.0, 554.0, 557.0, 18.0], shoonya_1sKIM58PZDMWMR, 5760715]
[paragraph, [158.0, 598.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 616.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 634.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 652.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 670.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 688.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 706.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 724.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 742.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 760.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 778.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 796.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 814.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 832.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 850.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 868.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [158.0, 886.0, 554.0, 18.0], shoonya_0s3NT8SHC5ZTTA, 5760715]
[paragraph, [155.0, 927.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 945.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 963.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 981.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 999.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 1017.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 1035.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 1053.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 1071.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
[paragraph, [155.0, 1089.0, 559.0, 18.0], shoonya_3sR0V9K5GII0VV, 5760715]
