[1518, 1075]
[paragraph, [557.0, 147.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 183.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 219.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 255.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 291.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 327.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 363.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 399.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [557.0, 435.0, 428.0, 36.0], shoonya_1s0DFSCJ4RXYPL, 5722573]
[paragraph, [112.0, 149.0, 432.0, 36.0], shoonya_6sKF3C8FDWJ9CN, 5722573]
[paragraph, [112.0, 185.0, 432.0, 36.0], shoonya_6sKF3C8FDWJ9CN, 5722573]
[paragraph, [110.0, 256.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 292.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 328.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 364.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 400.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 436.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 472.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 508.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 544.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 580.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 616.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 652.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 688.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 724.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 760.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 796.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 832.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 868.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 904.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 940.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 976.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 1012.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 1048.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 1084.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [110.0, 1120.0, 436.0, 36.0], shoonya_2sE07Q1ZCX8CGM, 5722573]
[paragraph, [556.0, 496.0, 430.0, 36.0], shoonya_0sUINRQDZF2KSE, 5722573]
[paragraph, [556.0, 532.0, 430.0, 36.0], shoonya_0sUINRQDZF2KSE, 5722573]
[paragraph, [556.0, 568.0, 430.0, 36.0], shoonya_0sUINRQDZF2KSE, 5722573]
[paragraph, [556.0, 604.0, 430.0, 36.0], shoonya_0sUINRQDZF2KSE, 5722573]
[paragraph, [556.0, 640.0, 430.0, 36.0], shoonya_0sUINRQDZF2KSE, 5722573]
