[1250, 2000]
[website-link, [1737.0, 17.0, 234.0, 18.0], HYnzMkNnqx, 5735588]
[headline, [876.0, 95.0, 248.0, 25.5], shoonya_0sY0SK912V57CR, 5735588]
[headline, [876.0, 120.5, 248.0, 25.5], shoonya_0sY0SK912V57CR, 5735588]
[headline, [876.0, 146.0, 248.0, 25.5], shoonya_0sY0SK912V57CR, 5735588]
[paragraph, [104.0, 289.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 307.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 325.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 343.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 361.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 379.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 397.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 415.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 433.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 451.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 469.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 487.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 505.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 523.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 541.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 559.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 577.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 595.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 613.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 631.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 649.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 667.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 685.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 703.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 721.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 739.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 757.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 775.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 793.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 811.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 829.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [104.0, 847.0, 1792.0, 18.0], r9UJ6Osk2N, 5735588]
[paragraph, [93.0, 901.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 919.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 937.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 955.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 973.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 991.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 1009.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
[paragraph, [93.0, 1027.0, 1805.0, 18.0], shoonya_2s7SKUZ0JU3YMQ, 5735588]
