[842, 595]
[headline, [150.0, 92.0, 144.0, 25.5], shoonya_4sM1YX6EFVV39N, 5742452]
[paragraph, [299.0, 137.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[paragraph, [299.0, 155.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[paragraph, [299.0, 173.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[paragraph, [299.0, 191.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[paragraph, [299.0, 209.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[paragraph, [299.0, 227.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[paragraph, [299.0, 245.0, 160.0, 18.0], 8fLSAafhBm, 5742452]
[author, [179.0, 146.0, 116.0, 18.0], shoonya_10s441CNTLE1M0, 5742452]
[paragraph, [52.0, 197.0, 200.0, 18.0], shoonya_6sKF19EXWTDQ0R, 5742452]
[paragraph, [52.0, 215.0, 200.0, 18.0], shoonya_6sKF19EXWTDQ0R, 5742452]
[paragraph, [52.0, 233.0, 200.0, 18.0], shoonya_6sKF19EXWTDQ0R, 5742452]
[paragraph, [52.0, 251.0, 200.0, 18.0], shoonya_6sKF19EXWTDQ0R, 5742452]
[paragraph, [52.0, 269.0, 200.0, 18.0], shoonya_6sKF19EXWTDQ0R, 5742452]
[paragraph, [52.0, 287.0, 200.0, 18.0], shoonya_6sKF19EXWTDQ0R, 5742452]
[paragraph, [293.0, 263.0, 127.0, 18.0], shoonya_8sCRBTDB8XTU2L, 5742452]
[paragraph, [297.0, 301.0, 139.0, 18.0], -hqA_jPNU6, 5742452]
[paragraph, [297.0, 319.0, 139.0, 18.0], -hqA_jPNU6, 5742452]
[paragraph, [297.0, 337.0, 139.0, 18.0], -hqA_jPNU6, 5742452]
[paragraph, [50.0, 325.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [50.0, 343.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [50.0, 361.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [50.0, 379.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [50.0, 397.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [50.0, 415.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [50.0, 433.0, 191.0, 18.0], x7C1Rh6tie, 5742452]
[paragraph, [298.0, 378.0, 162.0, 18.0], 49NJEf4cYC, 5742452]
[paragraph, [298.0, 396.0, 162.0, 18.0], 49NJEf4cYC, 5742452]
[paragraph, [298.0, 414.0, 162.0, 18.0], 49NJEf4cYC, 5742452]
[paragraph, [298.0, 432.0, 162.0, 18.0], 49NJEf4cYC, 5742452]
[paragraph, [298.0, 450.0, 162.0, 18.0], 49NJEf4cYC, 5742452]
[contact-info, [163.0, 472.0, 129.0, 18.0], meWVcqvEzu, 5742452]
[paragraph, [299.0, 478.0, 159.0, 18.0], cHf-VQz-kZ, 5742452]
[paragraph, [299.0, 496.0, 159.0, 18.0], cHf-VQz-kZ, 5742452]
[paragraph, [299.0, 514.0, 159.0, 18.0], cHf-VQz-kZ, 5742452]
[paragraph, [299.0, 532.0, 159.0, 18.0], cHf-VQz-kZ, 5742452]
[paragraph, [299.0, 550.0, 159.0, 18.0], cHf-VQz-kZ, 5742452]
[paragraph, [299.0, 568.0, 159.0, 18.0], cHf-VQz-kZ, 5742452]
[contact-info, [336.0, 601.0, 107.0, 18.0], Z0deT8OB9u, 5742452]
[contact-info, [336.0, 619.0, 107.0, 18.0], Z0deT8OB9u, 5742452]
