[1650, 1275]
[paragraph, [247.0, 123.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 159.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 195.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 231.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 267.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 303.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 339.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 375.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 411.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 447.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 483.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 519.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 555.0, 859.0, 36.0], shoonya_0sUPU1QDL07JI2, 5714753]
[paragraph, [247.0, 597.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 633.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 669.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 705.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 741.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 777.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 813.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 849.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 885.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 921.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 957.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 993.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1029.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1065.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1101.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1137.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1173.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1209.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1245.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1281.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1317.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1353.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1389.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
[paragraph, [247.0, 1425.0, 868.0, 36.0], shoonya_1sYA9JYEZEXTPI, 5714753]
