[1437, 878]
[headline, [69.0, 73.0, 204.0, 25.5], shoonya_0sPP92NTLKZFJM, 5770722]
[sub-headline, [184.0, 122.0, 498.0, 25.5], M-aZv5E5fi, 5770722]
[sub-headline, [184.0, 147.5, 498.0, 25.5], M-aZv5E5fi, 5770722]
[sub-headline, [184.0, 173.0, 498.0, 25.5], M-aZv5E5fi, 5770722]
[subsub-headline, [343.0, 204.0, 190.0, 22.5], shoonya_2sHB1O39UCGQRI, 5770722]
[paragraph, [443.0, 304.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 322.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 340.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 358.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 376.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 394.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 412.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 430.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 448.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 466.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 484.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 502.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 520.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 538.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 556.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 574.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 592.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 610.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 628.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 646.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [443.0, 664.0, 356.0, 18.0], VfGtlDeMW6, 5770722]
[paragraph, [81.0, 312.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 330.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 348.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 366.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 384.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 402.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 420.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 438.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 456.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 474.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 492.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 510.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 528.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
[paragraph, [81.0, 546.0, 357.0, 18.0], shoonya_1s8BYX29FKYMY3, 5770722]
