[2200, 1700]
[headline, [152.0, 64.0, 1488.0, 67.5], Jm2QIR8y9J, 5695312]
[headline, [152.0, 131.5, 1488.0, 67.5], Jm2QIR8y9J, 5695312]
[headline, [152.0, 199.0, 1488.0, 67.5], Jm2QIR8y9J, 5695312]
[headline, [152.0, 266.5, 1488.0, 67.5], Jm2QIR8y9J, 5695312]
[paragraph, [1081.0, 424.0, 541.0, 36.0], yWhg9mfyFo, 5695312]
[paragraph, [1081.0, 460.0, 541.0, 36.0], yWhg9mfyFo, 5695312]
[paragraph, [1081.0, 496.0, 541.0, 36.0], yWhg9mfyFo, 5695312]
[paragraph, [1081.0, 532.0, 541.0, 36.0], yWhg9mfyFo, 5695312]
[paragraph, [1081.0, 568.0, 541.0, 36.0], yWhg9mfyFo, 5695312]
[paragraph, [148.0, 439.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [148.0, 475.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [148.0, 511.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [148.0, 547.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [148.0, 583.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [148.0, 619.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [148.0, 655.0, 449.0, 36.0], bj1qzpariU, 5695312]
[paragraph, [604.0, 441.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 477.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 513.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 549.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 585.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 621.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 657.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 693.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 729.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 765.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 801.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[paragraph, [604.0, 837.0, 462.0, 36.0], WLp-yIPEj9, 5695312]
[section-title, [110.0, 1047.0, 314.0, 52.5], IAPaEdY-Cy, 5695312]
[unordered-list, [107.0, 1118.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1154.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1190.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1226.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1262.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1298.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1334.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1370.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1406.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1442.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1478.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1514.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [107.0, 1550.0, 835.0, 36.0], jPCnEWlyoO, 5695312]
[unordered-list, [591.0, 1606.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1642.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1678.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1714.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1750.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1786.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1822.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[unordered-list, [591.0, 1858.0, 683.0, 36.0], lXGAayQWUa, 5695312]
[figure-caption, [116.0, 1622.0, 456.0, 36.0], ek0x0McVAd, 5695312]
[figure-caption, [169.0, 1802.0, 235.0, 36.0], ZENAI68fLK, 5695312]
[figure-caption, [169.0, 1838.0, 235.0, 36.0], ZENAI68fLK, 5695312]
[folio, [587.0, 2025.0, 605.0, 36.0], Et_ryGnRH7, 5695312]
