[2200, 1700]
[paragraph, [286.0, 73.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 109.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 145.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 181.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 217.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 253.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 289.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 325.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 361.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 397.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [286.0, 433.0, 1092.0, 36.0], shoonya_2s5JV1FPDGZ5A5, 5731446]
[paragraph, [282.0, 480.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 516.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 552.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 588.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 624.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 660.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 696.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 732.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 768.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 804.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 840.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[paragraph, [282.0, 876.0, 1102.0, 36.0], shoonya_1sY32LITPLU4VW, 5731446]
[section-title, [386.0, 964.0, 640.0, 52.5], z0_a4opRvR, 5731446]
[paragraph, [1035.0, 968.0, 335.0, 36.0], xNn1H1tPz4, 5731446]
[paragraph, [288.0, 1025.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1061.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1097.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1133.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1169.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1205.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1241.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1277.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1313.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1349.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1385.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1421.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1457.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1493.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1529.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1565.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1601.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1637.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1673.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1709.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1745.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1781.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1817.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1853.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[paragraph, [288.0, 1889.0, 1094.0, 36.0], shoonya_0s6G289FKV9BRD, 5731446]
[folio, [290.0, 2013.0, 352.0, 36.0], t7KijUaoVQ, 5731446]
