[3508, 2481]
[contact-info, [491.0, 326.0, 1526.0, 52.5], BkpCil9eUz, 6490597]
[contact-info, [491.0, 378.5, 1526.0, 52.5], BkpCil9eUz, 6490597]
[contact-info, [491.0, 431.0, 1526.0, 52.5], BkpCil9eUz, 6490597]
[contact-info, [491.0, 483.5, 1526.0, 52.5], BkpCil9eUz, 6490597]
[paragraph, [777.0, 702.0, 904.0, 52.5], zvrxOIBZux, 6490597]
[headline, [1066.0, 827.0, 373.0, 52.5], bKB3y3uqvS, 6490597]
[headline, [1066.0, 879.5, 373.0, 52.5], bKB3y3uqvS, 6490597]
[sub-headline, [180.0, 1051.0, 1259.0, 73.5], OxucFWMeyO, 6490597]
[dateline, [217.0, 1318.0, 422.0, 52.5], 429ac_wI_V, 6490597]
[paragraph, [211.0, 1570.0, 457.0, 52.5], 0XO5_07El3, 6490597]
[paragraph, [189.0, 1691.0, 2079.0, 52.5], y2jMSRdgja, 6490597]
[paragraph, [189.0, 1743.5, 2079.0, 52.5], y2jMSRdgja, 6490597]
[paragraph, [189.0, 1796.0, 2079.0, 52.5], y2jMSRdgja, 6490597]
[paragraph, [189.0, 1848.5, 2079.0, 52.5], y2jMSRdgja, 6490597]
[paragraph, [189.0, 1901.0, 2079.0, 52.5], y2jMSRdgja, 6490597]
[paragraph, [189.0, 1953.5, 2079.0, 52.5], y2jMSRdgja, 6490597]
[paragraph, [170.0, 2055.0, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [170.0, 2107.5, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [170.0, 2160.0, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [170.0, 2212.5, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [170.0, 2265.0, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [170.0, 2317.5, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [170.0, 2370.0, 2107.0, 52.5], Nm3nP4t4nM, 6490597]
[paragraph, [192.0, 2515.0, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2567.5, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2620.0, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2672.5, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2725.0, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2777.5, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2830.0, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2882.5, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2935.0, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[paragraph, [192.0, 2987.5, 2154.0, 52.5], -0WiQfQxXn, 6490597]
[ordered-list, [254.0, 3116.0, 2070.0, 52.5], YOJLXV72XL, 6490597]
[ordered-list, [254.0, 3168.5, 2070.0, 52.5], YOJLXV72XL, 6490597]
[ordered-list, [254.0, 3221.0, 2070.0, 52.5], YOJLXV72XL, 6490597]
[ordered-list, [254.0, 3273.5, 2070.0, 52.5], YOJLXV72XL, 6490597]
