[2200, 1700]
[paragraph, [370.0, 117.0, 1135.0, 36.0], shoonya_2s30T7AOC88FMJ, 5734138]
[paragraph, [370.0, 153.0, 1135.0, 36.0], shoonya_2s30T7AOC88FMJ, 5734138]
[paragraph, [370.0, 189.0, 1135.0, 36.0], shoonya_2s30T7AOC88FMJ, 5734138]
[paragraph, [370.0, 225.0, 1135.0, 36.0], shoonya_2s30T7AOC88FMJ, 5734138]
[paragraph, [370.0, 261.0, 1135.0, 36.0], shoonya_2s30T7AOC88FMJ, 5734138]
[paragraph, [370.0, 297.0, 1135.0, 36.0], shoonya_2s30T7AOC88FMJ, 5734138]
[section-title, [474.0, 368.0, 534.0, 52.5], shoonya_3sLDVNN230ZGT1, 5734138]
[paragraph, [373.0, 429.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 465.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 501.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 537.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 573.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 609.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 645.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 681.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 717.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 753.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 789.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 825.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 861.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 897.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 933.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 969.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 1005.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 1041.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 1077.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [373.0, 1113.0, 1131.0, 36.0], shoonya_0sGQQDXHU9FWVU, 5734138]
[paragraph, [374.0, 1210.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1246.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1282.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1318.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1354.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1390.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1426.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1462.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1498.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1534.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1570.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1606.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1642.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1678.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1714.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1750.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1786.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1822.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1858.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1894.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1930.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 1966.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 2002.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[paragraph, [374.0, 2038.0, 1132.0, 36.0], shoonya_1sE7QEW86C32P4, 5734138]
[folio, [872.0, 2145.0, 582.0, 36.0], shoonya_4sU6YA9IFE0G2A, 5734138]
